

 Program UNIPLOT                         version 05.29.00
 _______________
 (c) Fugro Engineers B.V., Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 UNICAS data file          : CPT_WFS1_01.000                         
 Output using command file : Qc+Qt+Qn+Fs+U2+Rf+Bq_Seafloor.ucf

 ASCII file created at : date          :03-Jul-2015
                         time          :13:19:13
 Project number                        :N6016/02 (2)                                                                                        
 Date of testing                       :10-May-2015                                                                                         
 Location                              :CPT_WFS1_1                                                                                          
 Test name                             :CPT_WFS1_1
 Penetrometer                          :CP15-CF75PB20SN2
 Serial no                             :1701-2483

 Table description:
 Column id                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Qnet-                                 :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]


 Data table:
  Rec    Depth      Time       Cone      Qnet-         qt   Friction     Pore 2         Bq Fric_ratio           
   No        m         s        MPa        MPa        MPa        MPa        MPa          -          %           
  238    4.740   2332.63     9.1566     9.0835     9.1786     0.0655     0.0526     0.0005     0.7258           
  239    4.760   2333.65     9.6560     9.5827     9.6781     0.0670     0.0527     0.0005     0.7053           
  240    4.780   2334.79    10.2434    10.1697    10.2655     0.0692     0.0527     0.0005     0.6892           
  241    4.800   2335.76    10.8241    10.7502    10.8464     0.0726     0.0531     0.0005     0.6814           
  242    4.820   2336.88    11.4922    11.4179    11.5146     0.0760     0.0536     0.0004     0.6745           
  243    4.840   2337.94    12.1348    12.0603    12.1573     0.0793     0.0537     0.0004     0.6664           
  244    4.860   2338.93    12.7830    12.7080    12.8055     0.0834     0.0540     0.0004     0.6619           
  245    4.880   2339.98    13.4497    13.3744    13.4723     0.0873     0.0538     0.0004     0.6556           
  246    4.900   2341.07    14.1497    14.0740    14.1723     0.0901     0.0537     0.0003     0.6442           
  247    4.920   2342.15    14.8074    14.7314    14.8301     0.0921     0.0540     0.0003     0.6271           
  248    4.940   2343.13    15.4395    15.3629    15.4621     0.0943     0.0539     0.0003     0.6171           
  249    4.960   2344.23    16.0965    16.0196    16.1191     0.0983     0.0541     0.0003     0.6175           
  250    4.980   2345.38    16.8317    16.7547    16.8547     0.1025     0.0547     0.0003     0.6202           
  251    5.000   2346.54    17.6172    17.5400    17.6403     0.1069     0.0554     0.0003     0.6177           
  252    5.020   2347.49    18.4205    18.3428    18.4436     0.1116     0.0554     0.0003     0.6150           
  253    5.040   2348.48    18.9579    18.8799    18.9811     0.1162     0.0555     0.0003     0.6165           
  254    5.060   2349.52    19.2712    19.1931    19.2947     0.1201     0.0560     0.0003     0.6257           
  255    5.080   2350.61    19.5524    19.4738    19.5758     0.1230     0.0555     0.0003     0.6314           
  256    5.100   2351.60    19.9203    19.8416    19.9440     0.1248     0.0566     0.0003     0.6296           
  257    5.120   2352.65    20.2920    20.2128    20.3156     0.1255     0.0563     0.0002     0.6217           
  258    5.140   2353.77    20.6745    20.5948    20.6980     0.1268     0.0557     0.0002     0.6166           
  259    5.160   2354.84    21.0235    20.9435    21.0472     0.1274     0.0561     0.0002     0.6087           
  260    5.180   2355.93    21.5038    21.4236    21.5276     0.1275     0.0568     0.0002     0.5965           
  261    5.200   2356.94    22.0643    21.9838    22.0882     0.1293     0.0572     0.0002     0.5902           
  262    5.220   2357.93    22.5956    22.5151    22.6199     0.1315     0.0573     0.0003     0.5858           
  263    5.240   2359.04    23.1865    23.1053    23.2105     0.1337     0.0571     0.0002     0.5813           
  264    5.260   2360.15    23.7185    23.6372    23.7429     0.1359     0.0577     0.0002     0.5769           
  265    5.280   2361.21    24.1427    24.0610    24.1671     0.1409     0.0583     0.0002     0.5859           
  266    5.300   2385.51    24.2883    24.2063    24.3128     0.1449     0.0586     0.0002     0.5970           
  267    5.320   2444.62    24.3359    24.2537    24.3606     0.1480     0.0591     0.0002     0.6099           
  268    5.340   2503.72    24.3834    24.3011    24.4084     0.1506     0.0597     0.0003     0.6205           
  269    5.360   2562.82    24.4310    24.3485    24.4562     0.1526     0.0603     0.0003     0.6287           
  270    5.380   2592.88    24.6202    24.5373    24.6454     0.1528     0.0600     0.0003     0.6214           
  271    5.400   2594.01    24.9187    24.8353    24.9439     0.1533     0.0596     0.0002     0.6163           
  272    5.420   2595.07    25.1311    25.0476    25.1566     0.1544     0.0616     0.0003     0.6157           
  273    5.440   2596.21    25.4355    25.3513    25.4607     0.1560     0.0599     0.0002     0.6155           
  274    5.460   2597.21    25.7474    25.6629    25.7727     0.1575     0.0611     0.0002     0.6140           
  275    5.480   2598.27    26.1371    26.0530    26.1632     0.1587     0.0621     0.0003     0.6103           
  276    5.500   2599.43    26.5500    26.4655    26.5761     0.1607     0.0620     0.0003     0.6090           
  277    5.520   2600.48    26.9051    26.8204    26.9314     0.1629     0.0620     0.0003     0.6092           
  278    5.540   2601.48    27.2611    27.1763    27.2877     0.1649     0.0645     0.0003     0.6070           
  279    5.560   2602.44    27.5772    27.4915    27.6033     0.1661     0.0624     0.0002     0.6036           
  280    5.580   2603.52    27.9572    27.8713    27.9835     0.1678     0.0616     0.0002     0.6020           
  281    5.600   2604.57    28.3102    28.2237    28.3363     0.1691     0.0621     0.0002     0.5993           
  282    5.620   2605.65    28.7867    28.7004    28.8135     0.1708     0.0631     0.0003     0.5961           
  283    5.640   2606.80    29.4042    29.3175    29.4310     0.1735     0.0636     0.0003     0.5940           
  284    5.660   2607.82    30.0758    29.9892    30.1031     0.1772     0.0647     0.0003     0.5935           
  285    5.680   2608.88    30.8276    30.7398    30.8541     0.1825     0.0653     0.0002     0.5955           
  286    5.700   2609.97    31.8805    31.7932    31.9079     0.1897     0.0655     0.0003     0.5994           
  287    5.720   2610.99    33.0402    32.9529    33.0680     0.1968     0.0664     0.0003     0.5995           
  288    5.740   2612.02    34.0857    33.9981    34.1136     0.2051     0.0671     0.0003     0.6040           
  289    5.760   2613.13    34.8069    34.7184    34.8344     0.2129     0.0664     0.0002     0.6140           
  290    5.780   2614.25    35.3502    35.2626    35.3789     0.2233     0.0682     0.0003     0.6347           
  291    5.800   2615.31    35.8360    35.7467    35.8634     0.2359     0.0614     0.0002     0.6614           
  292    5.820   2616.38    36.4380    36.3465    36.4637     0.2486     0.0611     0.0001     0.6857           
  293    5.840   2617.43    37.0047    36.9137    37.0313     0.2593     0.0587     0.0001     0.7031           
  294    5.860   2618.47    37.4234    37.3291    37.4471     0.2701     0.0550    -0.0001     0.7240           
  295    5.880   2619.52    37.7604    37.6686    37.7870     0.2819     0.0632     0.0001     0.7478           
  296    5.900   2620.60    38.0297    37.9392    38.0580     0.2918     0.0741     0.0002     0.7676           
  297    5.920   2621.65    38.0960    38.0002    38.1194     0.2981     0.0543    -0.0001     0.7823           
  298    5.940   2622.71    37.9394    37.8419    37.9616     0.3011     0.0509    -0.0002     0.7925           
  299    5.960   2623.74    37.7625    37.6636    37.7837     0.3009     0.0535    -0.0002     0.7957           
  300    5.980   2624.88    37.7230    37.6222    37.7427     0.3017     0.0530    -0.0003     0.8000           
  301    6.000   2626.04    37.8787    37.7799    37.9007     0.3028     0.0529    -0.0002     0.8007           
  302    6.020   2627.04    37.9666    37.8664    37.9877     0.3030     0.0516    -0.0003     0.7985           
  303    6.040   2628.07    38.0098    37.9096    38.0313     0.3050     0.0537    -0.0002     0.8026           
  304    6.060   2629.16    38.0401    37.9404    38.0624     0.3065     0.0593    -0.0002     0.8059           
  305    6.080   2630.10    37.9725    37.8715    37.9940     0.3087     0.0497    -0.0003     0.8129           
  306    6.100   2631.18    37.9977    37.8956    38.0185     0.3117     0.0467    -0.0003     0.8208           
  307    6.120   2632.27    38.0776    37.9761    38.0994     0.3108     0.0559    -0.0002     0.8163           
  308    6.140   2633.43    38.0875    37.9859    38.1096     0.3102     0.0586    -0.0002     0.8148           
  309    6.160   2634.52    38.1692    38.0650    38.1891     0.3118     0.0506    -0.0004     0.8179           
  310    6.180   2635.54    38.1504    38.0451    38.1696     0.3134     0.0473    -0.0004     0.8214           
  311    6.200   2636.57    38.1397    38.0372    38.1621     0.3126     0.0509    -0.0002     0.8196           
  312    6.220   2637.63    38.0815    37.9753    38.1007     0.3143     0.0445    -0.0004     0.8251           
  313    6.240   2638.71    37.9923    37.8901    38.0159     0.3149     0.0521    -0.0002     0.8286           
  314    6.260   2639.72    37.8796    37.7749    37.9011     0.3155     0.0510    -0.0003     0.8326           
  315    6.280   2640.82    37.7625    37.6547    37.7813     0.3125     0.0460    -0.0005     0.8283           
  316    6.300   2641.93    37.5389    37.4319    37.5589     0.3078     0.0496    -0.0004     0.8209           
  317    6.320   2643.07    37.1432    37.0354    37.1628     0.3032     0.0464    -0.0004     0.8136           
  318    6.340   2644.13    36.8741    36.7674    36.8953     0.2985     0.0499    -0.0004     0.8062           
  319    6.360   2645.18    36.7267    36.6197    36.7479     0.2963     0.0504    -0.0004     0.8053           
  320    6.380   2652.68    36.6123    36.5036    36.6323     0.3001     0.0495    -0.0004     0.8185           
  321    6.400   2679.93    36.4186    36.3119    36.4409     0.3012     0.0553    -0.0003     0.8217           
  322    6.420   2707.17    36.2248    36.1201    36.2496     0.3012     0.0610    -0.0001     0.8216           
  323    6.440   2734.41    36.0310    35.9283    36.0582     0.3071     0.0668     0.0000     0.8377           
  324    6.460   2761.65    35.8372    35.7366    35.8669     0.3076     0.0649     0.0002     0.8430           
  325    6.480   2765.38    35.7305    35.6248    35.7555     0.3074     0.0552    -0.0001     0.8588           
  326    6.500   2766.52    35.6974    35.5913    35.7224     0.3076     0.0585    -0.0002     0.8619           
  327    6.520   2767.54    35.6821    35.5761    35.7076     0.3055     0.0647    -0.0001     0.8555           
  328    6.540   2768.52    35.6129    35.5067    35.6386     0.3028     0.0586    -0.0001     0.8501           
  329    6.560   2769.57    35.5657    35.4581    35.5904     0.3022     0.0628    -0.0002     0.8501           
  330    6.580   2770.65    35.4951    35.3876    35.5203     0.3004     0.0609    -0.0002     0.8460           
  331    6.600   2771.71    35.4320    35.3240    35.4571     0.2995     0.0563    -0.0002     0.8450           
  332    6.620   2772.82    35.5110    35.4040    35.5376     0.2999     0.0613    -0.0001     0.8450           
  333    6.640   2773.93    35.6076    35.4985    35.6325     0.2995     0.0596    -0.0002     0.8418           
  334    6.660   2774.99    35.6762    35.5657    35.7001     0.3007     0.0564    -0.0003     0.8430           
  335    6.680   2776.02    35.6973    35.5881    35.7229     0.3026     0.0575    -0.0002     0.8479           
  336    6.700   2777.06    35.6951    35.5868    35.7220     0.3050     0.0627    -0.0001     0.8539           
  337    6.720   2778.10    35.5399    35.4297    35.5653     0.3069     0.0622    -0.0002     0.8631           
  338    6.740   2779.18    35.1862    35.0750    35.2111     0.3069     0.0584    -0.0002     0.8699           
  339    6.760   2780.26    34.7457    34.6334    34.7699     0.3052     0.0612    -0.0003     0.8761           
  340    6.780   2781.28    34.4423    34.3321    34.4689     0.3032     0.0605    -0.0001     0.8790           
  341    6.800   2782.38    34.2073    34.0937    34.2309     0.2995     0.0570    -0.0003     0.8746           
  342    6.820   2783.52    33.9788    33.8642    34.0019     0.2957     0.0597    -0.0004     0.8684           
  343    6.840   2784.57    33.7908    33.6790    33.8171     0.2929     0.0622    -0.0002     0.8659           
  344    6.860   2785.63    33.6985    33.5848    33.7233     0.2910     0.0576    -0.0003     0.8630           
  345    6.880   2786.65    33.7685    33.6551    33.7939     0.2890     0.0610    -0.0002     0.8565           
  346    6.900   2787.69    33.7941    33.6810    33.8203     0.2865     0.0626    -0.0002     0.8479           
  347    6.920   2788.76    33.7249    33.6119    33.7516     0.2854     0.0612    -0.0002     0.8458           
  348    6.940   2789.82    33.6042    33.4904    33.6306     0.2858     0.0640    -0.0002     0.8499           
  349    6.960   2790.93    33.6164    33.5024    33.6430     0.2867     0.0664    -0.0002     0.8527           
  350    6.980   2792.15    33.5156    33.4014    33.5424     0.2856     0.0645    -0.0002     0.8513           
  351    7.000   2793.38    33.4477    33.3333    33.4747     0.2845     0.0638    -0.0002     0.8504           
  352    7.020   2794.26    33.4081    33.2935    33.4353     0.2849     0.0673    -0.0002     0.8526           
  353    7.040   2795.24    33.3698    33.2545    33.3967     0.2852     0.0620    -0.0002     0.8546           
  354    7.060   2796.24    33.3817    33.2651    33.4077     0.2860     0.0641    -0.0003     0.8571           
  355    7.080   2797.38    33.3898    33.2741    33.4170     0.2863     0.0633    -0.0002     0.8575           
  356    7.100   2798.44    33.3337    33.2190    33.3624     0.2862     0.0640    -0.0001     0.8580           
  357    7.120   2799.49    33.1873    33.0714    33.2152     0.2858     0.0659    -0.0001     0.8601           
  358    7.140   2800.60    33.0686    32.9517    33.0959     0.2855     0.0651    -0.0002     0.8616           
  359    7.160   2801.63    32.8973    32.7806    32.9252     0.2833     0.0683    -0.0002     0.8597           
  360    7.180   2802.65    32.7673    32.6498    32.7948     0.2806     0.0622    -0.0002     0.8555           
  361    7.200   2803.72    32.6652    32.5460    32.6915     0.2797     0.0621    -0.0003     0.8554           
  362    7.220   2804.72    32.6291    32.5105    32.6564     0.2783     0.0643    -0.0002     0.8526           
  363    7.240   2805.76    32.6604    32.5404    32.6867     0.2755     0.0664    -0.0003     0.8435           
  364    7.260   2806.88    32.8422    32.7233    32.8699     0.2750     0.0663    -0.0002     0.8383           
  365    7.280   2807.93    32.9885    32.8694    33.0165     0.2745     0.0695    -0.0002     0.8331           
  366    7.300   2809.02    33.0763    32.9578    33.1053     0.2756     0.0692    -0.0001     0.8339           
  367    7.320   2810.13    33.2294    33.1100    33.2579     0.2774     0.0670    -0.0002     0.8356           
  368    7.340   2811.21    33.4206    33.3009    33.4492     0.2800     0.0684    -0.0002     0.8387           
  369    7.360   2812.26    33.6261    33.5065    33.6552     0.2824     0.0718    -0.0001     0.8416           
  370    7.380   2813.27    33.7641    33.6446    33.7937     0.2844     0.0692    -0.0001     0.8426           
  371    7.400   2814.32    33.7987    33.6772    33.8268     0.2848     0.0685    -0.0002     0.8424           
  372    7.420   2815.33    33.8178    33.6966    33.8466     0.2861     0.0674    -0.0002     0.8459           
  373    7.440   2816.43    33.8495    33.7288    33.8792     0.2873     0.0693    -0.0001     0.8492           
  374    7.460   2817.52    33.9318    33.8094    33.9601     0.2877     0.0686    -0.0002     0.8488           
  375    7.480   2818.69    34.0341    33.9107    34.0619     0.2877     0.0652    -0.0003     0.8466           
  376    7.500   2819.76    34.1638    34.0406    34.1922     0.2865     0.0684    -0.0002     0.8391           
  377    7.520   2820.82    34.2437    34.1181    34.2701     0.2875     0.0670    -0.0004     0.8402           
  378    7.540   2821.82    34.3652    34.2418    34.3942     0.2907     0.0676    -0.0002     0.8468           
  379    7.560   2822.82    34.4254    34.3005    34.4534     0.2917     0.0669    -0.0003     0.8478           
  380    7.580   2823.83    34.4386    34.3140    34.4672     0.2912     0.0693    -0.0002     0.8455           
  381    7.600   2824.93    34.2839    34.1582    34.3118     0.2892     0.0692    -0.0003     0.8422           
  382    7.620   2825.99    33.8831    33.7563    33.9104     0.2878     0.0612    -0.0003     0.8466           
  383    7.640   2827.13    33.5258    33.3977    33.5522     0.2844     0.0647    -0.0004     0.8472           
  384    7.660   2828.21    33.5509    33.4218    33.5767     0.2748     0.0595    -0.0005     0.8200           
  385    7.680   2829.24    33.6245    33.4945    33.6497     0.2626     0.0621    -0.0005     0.7814           
  386    7.700   2830.27    33.6911    33.5629    33.7186     0.2550     0.0669    -0.0003     0.7571           
  387    7.720   2831.32    33.7834    33.6569    33.8130     0.2511     0.0695    -0.0002     0.7439           
  388    7.740   2832.38    33.9751    33.8472    34.0037     0.2469     0.0698    -0.0003     0.7274           
  389    7.760   2833.43    34.2302    34.1048    34.2617     0.2417     0.0774    -0.0001     0.7067           
  390    7.780   2834.56    34.4538    34.3305    34.4878     0.2361     0.0819     0.0001     0.6859           
  391    7.800   2835.63    34.6569    34.5346    34.6924     0.2338     0.0845     0.0002     0.6756           
  392    7.820   2836.75    34.9504    34.8270    34.9852     0.2332     0.0829     0.0001     0.6681           
  393    7.840   2837.88    35.1343    35.0109    35.1695     0.2325     0.0841     0.0002     0.6629           
  394    7.860   2838.93    35.3273    35.2043    35.3633     0.2307     0.0870     0.0002     0.6540           
  395    7.880   2839.88    35.5296    35.4065    35.5659     0.2284     0.0869     0.0002     0.6431           
  396    7.900   2840.97    35.7748    35.6517    35.8115     0.2282     0.0883     0.0002     0.6383           
  397    7.920   2842.04    36.0516    35.9274    36.0876     0.2301     0.0858     0.0002     0.6393           
  398    7.940   2843.13    36.3168    36.1927    36.3533     0.2324     0.0874     0.0002     0.6407           
  399    7.960   2844.21    36.3206    36.1961    36.3571     0.2350     0.0863     0.0002     0.6464           
  400    7.980   2845.27    36.0940    35.9696    36.1310     0.2385     0.0887     0.0002     0.6594           
  401    8.000   2846.38    35.7312    35.6059    35.7677     0.2411     0.0899     0.0002     0.6732           
  402    8.020   2847.51    35.5268    35.4018    35.5641     0.2434     0.0881     0.0002     0.6843           
  403    8.040   2848.52    35.3785    35.2533    35.4160     0.2439     0.0902     0.0003     0.6887           
  404    8.060   2849.56    35.1769    35.0511    35.2142     0.2430     0.0904     0.0002     0.6900           
  405    8.080   2850.60    34.9652    34.8394    35.0029     0.2421     0.0905     0.0003     0.6912           
  406    8.100   2851.69    34.8085    34.6825    34.8464     0.2394     0.0904     0.0003     0.6866           
  407    8.120   2852.82    34.5332    34.4087    34.5730     0.2357     0.0921     0.0004     0.6805           
  408    8.140   2853.88    34.3654    34.2389    34.4036     0.2326     0.0925     0.0003     0.6758           
  409    8.160   2854.98    34.3717    34.2454    34.4106     0.2309     0.0915     0.0003     0.6717           
  410    8.180   2855.93    34.3251    34.1983    34.3638     0.2296     0.0926     0.0003     0.6684           
  411    8.200   2856.97    34.2489    34.1218    34.2878     0.2297     0.0938     0.0003     0.6705           
  412    8.220   2857.99    34.2517    34.1247    34.2911     0.2308     0.0916     0.0003     0.6735           
  413    8.240   2859.06    34.0477    33.9205    34.0873     0.2301     0.0956     0.0003     0.6752           
  414    8.260   2860.15    33.7989    33.6713    33.8385     0.2283     0.0939     0.0003     0.6746           
  415    8.280   2861.26    33.4770    33.3486    33.5162     0.2248     0.0939     0.0003     0.6696           
  416    8.300   2862.38    32.9217    32.7930    32.9610     0.2196     0.0963     0.0003     0.6641           
  417    8.320   2863.49    32.5085    32.3797    32.5481     0.2133     0.0941     0.0003     0.6540           
  418    8.340   2864.49    32.3853    32.2560    32.4248     0.2080     0.0951     0.0003     0.6420           
  419    8.360   2865.57    32.5743    32.4446    32.6138     0.1998     0.0951     0.0003     0.6145           
  420    8.380   2866.63    33.0002    32.8708    33.0404     0.1987     0.0952     0.0004     0.6051           
  421    8.400   2867.68    33.4506    33.3206    33.4907     0.1989     0.0954     0.0003     0.5960           
  422    8.420   2868.71    33.8552    33.7256    33.8961     0.2001     0.0978     0.0004     0.5931           
  423    8.440   2869.76    34.3944    34.2639    34.4348     0.2004     0.0979     0.0003     0.5847           
  424    8.460   2870.82    34.9738    34.8438    35.0151     0.2016     0.0986     0.0004     0.5793           
  425    8.480   2871.97    34.9268    34.8029    34.9746     0.2032     0.0964     0.0008     0.5784           
  426    8.500   2873.07    34.9450    34.8139    34.9860     0.2054     0.0990     0.0004     0.5887           
  427    8.520   2874.13    35.1179    34.9870    35.1595     0.2060     0.0995     0.0004     0.5873           
  428    8.540   2875.07    35.2602    35.1292    35.3022     0.2063     0.0977     0.0004     0.5859           
  429    8.560   2876.13    35.4185    35.2850    35.4583     0.2095     0.0956     0.0003     0.5916           
  430    8.580   2877.21    35.3786    35.2465    35.4202     0.2094     0.1023     0.0004     0.5913           
  431    8.600   2878.24    35.0610    34.9333    35.1074     0.2111     0.1064     0.0007     0.6010           
  432    8.620   2879.32    34.6432    34.5104    34.6850     0.2133     0.0990     0.0004     0.6152           
  433    8.640   2880.47    34.6426    34.5096    34.6846     0.2129     0.0981     0.0004     0.6144           
  434    8.660   2881.54    34.4273    34.2943    34.4697     0.2076     0.1017     0.0004     0.6016           
  435    8.680   2882.60    34.3169    34.1838    34.3596     0.2008     0.1007     0.0004     0.5851           
  436    8.700   2883.57    34.2348    34.1003    34.2765     0.1976     0.1007     0.0004     0.5769           
  437    8.720   2884.63    34.3606    34.2259    34.4026     0.1929     0.0994     0.0004     0.5619           
  438    8.740   2885.71    34.5752    34.4393    34.6163     0.1912     0.0986     0.0003     0.5532           
  439    8.760   2886.76    34.6761    34.5401    34.7176     0.1915     0.0991     0.0003     0.5523           
  440    8.780   2887.88    34.6511    34.5158    34.6937     0.1946     0.1011     0.0004     0.5613           
  441    8.800   2888.93    34.6774    34.5416    34.7198     0.1986     0.1004     0.0004     0.5724           
  442    8.820   2890.06    34.4371    34.3005    34.4791     0.2010     0.1007     0.0003     0.5821           
  443    8.840   2891.10    34.1055    33.9692    34.1483     0.2014     0.1020     0.0004     0.5886           
  444    8.860   2892.18    33.6917    33.5554    33.7349     0.1972     0.1020     0.0004     0.5830           
  445    8.880   2893.18    33.1768    33.0391    33.2190     0.1929     0.1002     0.0004     0.5793           
  446    8.900   2894.26    32.6239    32.4850    32.6653     0.1908     0.0982     0.0003     0.5834           
  447    8.920   2895.26    32.2841    32.1447    32.3254     0.1904     0.0980     0.0003     0.5889           
  448    8.940   2896.38    32.0620    31.9222    32.1033     0.1900     0.0980     0.0003     0.5917           
  449    8.960   2897.38    31.7750    31.6351    31.8166     0.1900     0.0991     0.0003     0.5964           
  450    8.980   2898.54    30.8636    30.7243    30.9062     0.1917     0.1015     0.0004     0.6146           
  451    9.000   2899.65    29.6222    29.4826    29.6650     0.1920     0.1019     0.0004     0.6355           
  452    9.020   2900.79    28.1964    28.0559    28.2387     0.1896     0.0999     0.0004     0.6563           
  453    9.040   2901.67    26.9794    26.8388    27.0220     0.1860     0.1012     0.0004     0.6778           
  454    9.060   2902.71    25.4453    25.3043    25.4879     0.1797     0.1020     0.0004     0.6929           
  455    9.080   2903.73    23.9723    23.8304    24.0144     0.1761     0.0992     0.0004     0.7170           
  456    9.100   2904.78    21.8731    21.7296    21.9140     0.1765     0.0966     0.0003     0.7699           
  457    9.120   2905.77    19.2044    19.0594    19.2442     0.1875     0.0944     0.0002     0.9208           
  458    9.140   2906.82    15.6579    15.5123    15.6975     0.2047     0.0948     0.0002     1.1859           
  459    9.160   2907.93    12.2796    12.1345    12.3201     0.2328     0.0985     0.0004     1.7149           
  460    9.180   2908.88     9.6968     9.5530     9.7390     0.2652     0.1032     0.0009     2.5367           
  461    9.200   2909.97     7.6070     7.4661     7.6525     0.2796     0.1107     0.0022     3.4436           
  462    9.220   2910.93     6.4441     6.3048     6.4917     0.2700     0.1139     0.0033     4.0536           
  463    9.240   2911.97     5.7222     5.5821     5.7694     0.2510     0.1115     0.0035     4.2991           
  464    9.260   2913.04     5.1455     5.0042     5.1918     0.2212     0.1115     0.0036     4.2270           
  465    9.280   2914.15     4.4903     4.3485     4.5364     0.1934     0.1107     0.0039     4.0916           
  466    9.300   2915.21     3.9006     3.7659     3.9542     0.1597     0.1675     0.0093     3.9763           
  467    9.320   2916.32     3.7744     3.7138     3.9025     0.1218     0.3951     0.0570     3.2255           
  468    9.340   2917.38     3.6908     3.7472     3.9363     0.0828     0.6915     0.1311     2.2178           
  469    9.360   2918.43     3.4091     3.5802     3.7697     0.0715     0.9654     0.2137     2.0408           
  470    9.380   2919.38     3.2420     3.5001     3.6900     0.0750     1.1092     0.2780     2.2940           
  471    9.400   2920.47     3.1476     3.4354     3.6257     0.0806     1.1426     0.3040     2.5553           
  472    9.420   2921.52     3.1745     3.4491     3.6398     0.0809     1.1031     0.2939     2.5582           
  473    9.440   2922.57     3.1803     3.4391     3.6301     0.0853     1.0439     0.2840     2.6861           
  474    9.460   2923.63     3.2263     3.4588     3.6502     0.0906     1.0070     0.2645     2.8136           
  475    9.480   2924.76     3.1865     3.4073     3.5990     0.0963     0.9706     0.2604     3.0044           
  476    9.500   2925.88     3.1042     3.3306     3.5227     0.1012     0.9738     0.2706     3.2076           
  477    9.520   2926.83     3.0777     3.2735     3.4660     0.1000     0.9179     0.2534     3.2497           
  478    9.540   2927.88     3.0990     3.2933     3.4862     0.1018     0.9250     0.2510     3.2824           
  479    9.560   2928.88     3.0941     3.2955     3.4888     0.0993     0.9425     0.2562     3.2065           
  480    9.580   2929.88     3.1072     3.3146     3.5083     0.0985     0.9648     0.2592     3.1682           
  481    9.600   2930.93     3.1066     3.3214     3.5154     0.0982     0.9636     0.2641     3.1670           
  482    9.620   2931.99     3.2232     3.4296     3.6240     0.1010     0.9682     0.2502     3.1586           
  483    9.640   2933.13     3.2746     3.4720     3.6668     0.1032     0.9154     0.2411     3.1466           
  484    9.660   2934.21     3.3261     3.4857     3.6809     0.1054     0.8058     0.2146     3.1826           
  485    9.680   2935.22     3.3359     3.4612     3.6568     0.1096     0.7392     0.1928     3.2828           
  486    9.700   2936.32     3.2737     3.3936     3.5896     0.1161     0.7783     0.1930     3.5371           
  487    9.720   2937.38     3.2326     3.3758     3.5722     0.1193     0.8036     0.2107     3.6736           
  488    9.740   2938.43     3.1995     3.3378     3.5346     0.1177     0.7869     0.2098     3.6761           
  489    9.760   2939.43     3.1995     3.3210     3.5181     0.1176     0.7602     0.1990     3.6770           
  490    9.780   2940.51     3.1758     3.3012     3.4987     0.1189     0.7712     0.2032     3.7299           
  491    9.800   2941.52     3.1244     3.2404     3.4382     0.1224     0.7291     0.2003     3.9040           
  492    9.820   2942.69     3.0947     3.1892     3.3874     0.1207     0.6895     0.1878     3.8715           
  493    9.840   2943.76     3.0249     3.1186     3.3172     0.1173     0.6953     0.1916     3.8418           
  494    9.860   2944.83     2.9854     3.0760     3.2750     0.1210     0.6844     0.1921     4.0573           
  495    9.880   2945.82     3.0340     3.1268     3.3261     0.1126     0.7085     0.1909     3.7284           
  496    9.900   2946.88     3.0552     3.1752     3.3749     0.1161     0.7677     0.2086     3.8069           
  497    9.920   2947.88     3.0611     3.1863     3.3865     0.1161     0.7572     0.2120     3.8058           
  498    9.940   2948.88     3.0948     3.2028     3.4033     0.1150     0.7682     0.1983     3.7288           
  499    9.960   2949.99     3.0602     3.1843     3.3852     0.1181     0.7281     0.2117     3.8342           
  500    9.980   2951.13     3.0889     3.1835     3.3848     0.1157     0.7044     0.1900     3.7885           
  501   10.000   2952.26     3.0432     3.1366     3.3383     0.1195     0.6931     0.1921     3.9131           
  502   10.020   2953.18     3.0157     3.1012     3.3033     0.1232     0.6800     0.1884     4.0882           
  503   10.040   2954.13     3.0060     3.0921     3.2946     0.1215     0.7070     0.1897     4.0392           
  504   10.060   2955.18     2.9481     3.0312     3.2339     0.1170     0.6577     0.1913     3.9451           
  505   10.080   2956.21     2.9800     3.0390     3.2422     0.1165     0.6178     0.1722     3.9134           
  506   10.100   2957.31     2.8824     2.9482     3.1517     0.1171     0.6532     0.1832     4.0345           
  507   10.120   2958.38     2.8216     2.8876     3.0915     0.1181     0.6617     0.1875     4.1743           
  508   10.140   2959.47     2.8269     2.9177     3.1220     0.1161     0.6909     0.2060     4.1090           
