

 Program UNIPLOT                         version 05.29.00
 _______________
 (c) Fugro Engineers B.V., Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 UNICAS data file          : CPT_WFS1_01.000                         
 Output using command file : Qc+Qt+Qn+Fs+U2+Rf+Bq_Seafloor.ucf

 ASCII file created at : date          :03-Jul-2015
                         time          :13:19:13
 Project number                        :N6016/02 (2)                                                                                        
 Date of testing                       :10-May-2015                                                                                         
 Location                              :CPT_WFS1_1                                                                                          
 Test name                             :CPT_WFS1_1
 Penetrometer                          :CP15-CF75PB20SN2
 Serial no                             :1701-2483

 Table description:
 Column id                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Qnet-                                 :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]


 Data table:
  Rec    Depth      Time       Cone      Qnet-         qt   Friction     Pore 2         Bq Fric_ratio           
   No        m         s        MPa        MPa        MPa        MPa        MPa          -          %           
   50    0.980   1731.42     5.9118     5.8974     5.9170     0.0410     0.0122     0.0004     0.6916           
   51    1.000   1737.31     5.9753     5.9604     5.9804     0.0401     0.0122     0.0004     0.6782           
   52    1.020   1743.43     6.0458     6.0305     6.0509     0.0401     0.0122     0.0003     0.6785           
   53    1.040   1746.59     6.2094     6.1939     6.2147     0.0413     0.0127     0.0004     0.6734           
   54    1.060   1747.44     6.4960     6.4803     6.5015     0.0427     0.0131     0.0004     0.6653           
   55    1.080   1748.49     6.8143     6.7983     6.8199     0.0444     0.0130     0.0004     0.6589           
   56    1.100   1749.65     7.0835     7.0669     7.0889     0.0462     0.0129     0.0003     0.6602           
   57    1.120   1750.63     7.2726     7.2556     7.2780     0.0476     0.0127     0.0002     0.6598           
   58    1.140   1751.75     7.4389     7.4213     7.4441     0.0482     0.0125     0.0002     0.6531           
   59    1.160   1752.90     7.6398     7.6220     7.6452     0.0491     0.0132     0.0002     0.6488           
   60    1.180   1753.93     7.9081     7.8900     7.9136     0.0504     0.0133     0.0002     0.6463           
   61    1.200   1754.84     8.2280     8.2097     8.2337     0.0521     0.0137     0.0002     0.6404           
   62    1.220   1755.84     8.5973     8.5786     8.6030     0.0548     0.0138     0.0002     0.6438           
   63    1.240   1756.94     9.0125     8.9936     9.0184     0.0581     0.0140     0.0002     0.6536           
   64    1.260   1757.95     9.3285     9.3092     9.3344     0.0606     0.0140     0.0002     0.6600           
   65    1.280   1759.08     9.5970     9.5774     9.6030     0.0631     0.0142     0.0002     0.6664           
   66    1.300   1760.22     9.8049     9.7848     9.8108     0.0655     0.0141     0.0001     0.6729           
   67    1.320   1761.29     9.9424     9.9220     9.9484     0.0706     0.0144     0.0001     0.7133           
   68    1.340   1762.36    10.0098     9.9892    10.0160     0.0741     0.0150     0.0001     0.7426           
   69    1.360   1811.04     9.8698     9.8491     9.8763     0.0757     0.0157     0.0002     0.7557           
   70    1.380   1864.97     9.7072     9.6864     9.7140     0.0758     0.0164     0.0002     0.7571           
   71    1.400   1918.91     9.5446     9.5237     9.5517     0.0751     0.0171     0.0003     0.7498           
   72    1.420   1946.38     9.4319     9.4108     9.4392     0.0740     0.0174     0.0003     0.7829           
   73    1.440   1947.44     9.3904     9.3690     9.3978     0.0721     0.0174     0.0003     0.7666           
   74    1.460   1948.43     9.3831     9.3612     9.3904     0.0699     0.0176     0.0003     0.7450           
   75    1.480   1949.72     9.3742     9.3519     9.3815     0.0677     0.0176     0.0003     0.7217           
   76    1.500   1950.72     9.3581     9.3355     9.3655     0.0655     0.0179     0.0003     0.7001           
   77    1.520   1951.68     9.3901     9.3672     9.3976     0.0637     0.0181     0.0003     0.6802           
   78    1.540   1952.72     9.5201     9.4970     9.5278     0.0634     0.0182     0.0003     0.6701           
   79    1.560   1953.71     9.7380     9.7145     9.7457     0.0642     0.0181     0.0003     0.6647           
   80    1.580   1954.80    10.1127    10.0888    10.1204     0.0666     0.0185     0.0003     0.6667           
   81    1.600   1955.95    10.5363    10.5120    10.5440     0.0690     0.0184     0.0002     0.6618           
   82    1.620   1956.88    10.8348    10.8102    10.8426     0.0716     0.0187     0.0002     0.6653           
   83    1.640   1958.04    11.0108    10.9860    11.0188     0.0739     0.0192     0.0002     0.6741           
   84    1.660   1959.14    11.1399    11.1148    11.1480     0.0764     0.0192     0.0002     0.6885           
   85    1.680   1960.07    11.2291    11.2036    11.2372     0.0787     0.0193     0.0002     0.7026           
   86    1.700   1961.15    11.3418    11.3160    11.3500     0.0797     0.0195     0.0002     0.7047           
   87    1.720   1962.25    11.4376    11.4115    11.4459     0.0806     0.0198     0.0002     0.7058           
   88    1.740   1963.29    11.5395    11.5130    11.5478     0.0813     0.0199     0.0002     0.7057           
   89    1.760   1964.26    11.6410    11.6141    11.6493     0.0835     0.0199     0.0002     0.7190           
   90    1.780   1965.34    11.7266    11.6995    11.7351     0.0852     0.0202     0.0002     0.7279           
   91    1.800   1966.43    11.8080    11.7805    11.8165     0.0867     0.0204     0.0002     0.7352           
   92    1.820   1967.54    11.8360    11.8081    11.8445     0.0892     0.0206     0.0002     0.7539           
   93    1.840   1968.65    11.8077    11.7797    11.8165     0.0905     0.0210     0.0002     0.7647           
   94    1.860   1969.73    11.7024    11.6741    11.7113     0.0910     0.0213     0.0002     0.7749           
   95    1.880   1970.65    11.5338    11.5052    11.5428     0.0898     0.0217     0.0002     0.7758           
   96    1.900   1971.78    11.2935    11.2647    11.3027     0.0868     0.0222     0.0003     0.7658           
   97    1.920   1972.79    11.0344    11.0054    11.0438     0.0840     0.0225     0.0003     0.7575           
   98    1.940   1973.76    10.8605    10.8312    10.8700     0.0816     0.0223     0.0003     0.7484           
   99    1.960   1974.83    10.7835    10.7537    10.7929     0.0806     0.0224     0.0003     0.7466           
  100    1.980   1976.00    10.8119    10.7817    10.8213     0.0792     0.0227     0.0002     0.7349           
  101    2.000   1977.08    10.8878    10.8574    10.8974     0.0796     0.0232     0.0003     0.7331           
  102    2.020   1978.15    10.9531    10.9226    10.9630     0.0794     0.0237     0.0003     0.7259           
  103    2.040   1979.15    10.9658    10.9350    10.9758     0.0807     0.0239     0.0003     0.7363           
  104    2.060   1980.07    10.9105    10.8794    10.9206     0.0808     0.0239     0.0003     0.7393           
  105    2.080   1981.10    10.8196    10.7881    10.8297     0.0805     0.0242     0.0003     0.7426           
  106    2.100   1982.22    10.7261    10.6943    10.7363     0.0789     0.0241     0.0003     0.7336           
  107    2.120   1983.36    10.6378    10.6055    10.6479     0.0796     0.0241     0.0003     0.7462           
  108    2.140   1984.33    10.6169    10.5844    10.6272     0.0792     0.0248     0.0003     0.7454           
  109    2.160   1985.38    10.6776    10.6449    10.6881     0.0783     0.0250     0.0003     0.7354           
  110    2.180   1986.47    10.7599    10.7270    10.7706     0.0777     0.0255     0.0003     0.7242           
  111    2.200   1987.43    10.8644    10.8311    10.8751     0.0781     0.0256     0.0003     0.7209           
  112    2.220   1988.43    10.9975    10.9638    11.0082     0.0788     0.0256     0.0003     0.7178           
  113    2.240   1989.49    11.1758    11.1418    11.1866     0.0791     0.0258     0.0003     0.7087           
  114    2.260   1990.63    11.4014    11.3672    11.4124     0.0792     0.0264     0.0003     0.6974           
  115    2.280   1991.79    11.6404    11.6059    11.6515     0.0789     0.0263     0.0003     0.6805           
  116    2.300   1992.76    11.8886    11.8536    11.8996     0.0792     0.0263     0.0003     0.6703           
  117    2.320   1993.88    12.1399    12.1045    12.1509     0.0795     0.0263     0.0002     0.6592           
  118    2.340   1995.03    12.3392    12.3036    12.3504     0.0803     0.0267     0.0003     0.6521           
  119    2.360   1996.03    12.4989    12.4630    12.5102     0.0809     0.0270     0.0003     0.6506           
  120    2.380   1997.06    12.6747    12.6384    12.6860     0.0830     0.0273     0.0003     0.6578           
  121    2.400   1998.10    12.8085    12.7721    12.8201     0.0845     0.0277     0.0003     0.6607           
  122    2.420   1999.13    12.8600    12.8233    12.8717     0.0862     0.0278     0.0003     0.6712           
  123    2.440   2000.17    12.9040    12.8668    12.9156     0.0888     0.0279     0.0003     0.6887           
  124    2.460   2001.30    12.9023    12.8650    12.9142     0.0905     0.0282     0.0003     0.7014           
  125    2.480   2002.42    12.9118    12.8743    12.9239     0.0916     0.0287     0.0003     0.7102           
  126    2.500   2003.43    12.9657    12.9279    12.9779     0.0922     0.0287     0.0003     0.7126           
  127    2.520   2004.51    13.0126    12.9745    13.0249     0.0919     0.0291     0.0003     0.7081           
  128    2.540   2005.56    13.0611    13.0224    13.0732     0.0917     0.0291     0.0003     0.7037           
  129    2.560   2006.49    13.0816    13.0427    13.0939     0.0917     0.0293     0.0003     0.7021           
  130    2.580   2007.60    13.1472    13.1080    13.1596     0.0947     0.0295     0.0003     0.7204           
  131    2.600   2008.63    13.2239    13.1844    13.2364     0.0960     0.0300     0.0003     0.7262           
  132    2.620   2037.44    13.1737    13.1340    13.1864     0.0976     0.0303     0.0003     0.7373           
  133    2.640   2078.06    13.0729    13.0329    13.0857     0.0993     0.0306     0.0003     0.7495           
  134    2.660   2118.69    12.9721    12.9319    12.9851     0.1004     0.0309     0.0003     0.7580           
  135    2.680   2131.69    12.8874    12.8469    12.9005     0.1010     0.0313     0.0003     0.7817           
  136    2.700   2132.67    12.7994    12.7586    12.8126     0.1005     0.0313     0.0003     0.7831           
  137    2.720   2133.69    12.6459    12.6049    12.6593     0.0991     0.0320     0.0004     0.7810           
  138    2.740   2134.71    12.4220    12.3808    12.4356     0.0974     0.0325     0.0004     0.7809           
  139    2.760   2135.77    12.2041    12.1627    12.2179     0.0958     0.0327     0.0004     0.7814           
  140    2.780   2137.00    12.0590    12.0170    12.0726     0.0947     0.0328     0.0004     0.7816           
  141    2.800   2137.94    12.0079    11.9657    12.0217     0.0939     0.0329     0.0004     0.7806           
  142    2.820   2139.01    11.9735    11.9311    11.9875     0.0934     0.0332     0.0004     0.7794           
  143    2.840   2140.04    11.9793    11.9364    11.9932     0.0931     0.0331     0.0004     0.7773           
  144    2.860   2141.14    11.9222    11.8789    11.9361     0.0934     0.0332     0.0004     0.7814           
  145    2.880   2142.15    11.8282    11.7844    11.8420     0.0941     0.0331     0.0004     0.7939           
  146    2.900   2143.19    11.7244    11.6805    11.7385     0.0940     0.0336     0.0004     0.8005           
  147    2.920   2144.15    11.6073    11.5632    11.6216     0.0925     0.0340     0.0004     0.7948           
  148    2.940   2145.23    11.4464    11.4020    11.4608     0.0902     0.0344     0.0004     0.7837           
  149    2.960   2146.26    11.2123    11.1677    11.2269     0.0881     0.0349     0.0005     0.7801           
  150    2.980   2147.43    10.9686    10.9236    10.9832     0.0861     0.0349     0.0005     0.7790           
  151    3.000   2148.49    10.8770    10.8317    10.8917     0.0847     0.0350     0.0005     0.7776           
  152    3.020   2149.56    10.9235    10.8777    10.9381     0.0842     0.0347     0.0004     0.7734           
  153    3.040   2150.48    11.0444    10.9982    11.0590     0.0841     0.0352     0.0004     0.7642           
  154    3.060   2151.51    11.2192    11.1727    11.2339     0.0847     0.0350     0.0004     0.7578           
  155    3.080   2152.54    11.3324    11.2854    11.3470     0.0862     0.0355     0.0004     0.7616           
  156    3.100   2153.63    11.4566    11.4096    11.4716     0.0878     0.0356     0.0004     0.7687           
  157    3.120   2154.79    11.5698    11.5225    11.5849     0.0896     0.0360     0.0004     0.7759           
  158    3.140   2155.76    11.6226    11.5750    11.6378     0.0907     0.0362     0.0004     0.7811           
  159    3.160   2156.88    11.5713    11.5233    11.5865     0.0917     0.0361     0.0004     0.7906           
  160    3.180   2157.94    11.4623    11.4139    11.4775     0.0921     0.0364     0.0004     0.8014           
  161    3.200   2158.94    11.3807    11.3320    11.3960     0.0923     0.0365     0.0004     0.8097           
  162    3.220   2159.93    11.3022    11.2531    11.3175     0.0916     0.0362     0.0004     0.8096           
  163    3.240   2161.07    11.2157    11.1663    11.2311     0.0909     0.0369     0.0004     0.8095           
  164    3.260   2162.11    11.0917    11.0421    11.1073     0.0895     0.0375     0.0004     0.8040           
  165    3.280   2163.15    10.9088    10.8591    10.9247     0.0878     0.0378     0.0004     0.8012           
  166    3.300   2164.21    10.7438    10.6937    10.7597     0.0856     0.0380     0.0005     0.7930           
  167    3.320   2165.32    10.6453    10.5950    10.6614     0.0823     0.0385     0.0005     0.7715           
  168    3.340   2166.38    10.6137    10.5629    10.6297     0.0790     0.0381     0.0005     0.7435           
  169    3.360   2167.38    10.6575    10.6064    10.6736     0.0762     0.0382     0.0005     0.7163           
  170    3.380   2168.54    10.8119    10.7604    10.8280     0.0751     0.0383     0.0004     0.6976           
  171    3.400   2169.57    11.0874    11.0357    11.1037     0.0751     0.0386     0.0004     0.6807           
  172    3.420   2170.50    11.4453    11.3934    11.4618     0.0771     0.0390     0.0004     0.6790           
  173    3.440   2171.57    11.8686    11.8162    11.8850     0.0797     0.0392     0.0004     0.6789           
  174    3.460   2172.67    12.1942    12.1415    12.2107     0.0832     0.0394     0.0004     0.6875           
  175    3.480   2173.75    12.4006    12.3475    12.4171     0.0873     0.0395     0.0004     0.7075           
  176    3.500   2174.88    12.4815    12.4281    12.4981     0.0921     0.0399     0.0004     0.7400           
  177    3.520   2176.03    12.5161    12.4625    12.5329     0.0954     0.0398     0.0004     0.7627           
  178    3.540   2177.00    12.4811    12.4270    12.4978     0.0973     0.0399     0.0004     0.7793           
  179    3.560   2177.88    12.3346    12.2802    12.3514     0.0977     0.0403     0.0004     0.7892           
  180    3.580   2178.88    12.1310    12.0764    12.1480     0.0970     0.0406     0.0004     0.7962           
  181    3.600   2180.04    11.9134    11.8586    11.9306     0.0954     0.0407     0.0004     0.7975           
  182    3.620   2181.11    11.7251    11.6698    11.7422     0.0942     0.0404     0.0004     0.7996           
  183    3.640   2182.19    11.5909    11.5353    11.6081     0.0937     0.0412     0.0004     0.8061           
