

 Program UNIPLOT                         version 05.26.04
 _______________
 (c) Fugro Engineers BV, Leidschendam, Holland


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 UNICAS data file          : CPT-7C.002                              
 Output using command file : Seacalf qc 5MPa.cmd

 ASCII file created at : date          :04-Nov-2014
                         time          :16:02:16
 Project number                        :N5955/02 (1)                                                                                        
 Date of testing                       :28-Oct-2014                                                                                         
 Location                              :CPT-7C                                                                                              
 Test name                             :CPT-7C.002
 Penetrometer                          :CP15-CF75PB30SN2
 Serial no                             :1701-2588

 Table description:
 Column id                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 SlopeOmni                             :Slope, Slope [Deg]


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2  SlopeOmni
   No        m         s        MPa        MPa        MPa        Deg
 1002   20.020   3459.27     3.3535     0.1140     1.3310     5.9633
 1003   20.040   3460.19     3.3364     0.1135     1.3088     5.9809
 1004   20.060   3461.10     3.2601     0.1148     1.2615     6.0081
 1005   20.080   3462.06     3.2359     0.1169     1.2102     5.9704
 1006   20.100   3462.97     3.2658     0.1193     1.1877     6.0038
 1007   20.120   3463.97     3.2943     0.1194     1.1810     6.0207
 1008   20.140   3464.86     3.3561     0.1223     1.1767     6.0193
 1009   20.160   3465.76     3.4182     0.1188     1.1859     6.0261
 1010   20.180   3466.71     3.5175     0.1143     1.2193     6.0327
 1011   20.200   3467.62     3.4515     0.1141     1.2136     6.0969
 1012   20.220   3468.58     3.4205     0.1135     1.2002     6.0823
 1013   20.240   3469.42     3.3869     0.1142     1.1974     6.0675
 1014   20.260   3470.40     3.3656     0.1167     1.1480     6.1054
 1015   20.280   3471.27     3.3615     0.1195     1.1069     6.1003
 1016   20.300   3472.22     3.3156     0.1192     1.0679     6.1310
 1017   20.320   3473.09     3.3231     0.1227     1.0451     6.1103
 1018   20.340   3474.04     3.3964     0.1249     1.0430     6.1242
 1019   20.360   3474.96     3.5414     0.1239     1.0641     6.1149
 1020   20.380   3475.85     3.5834     0.1246     1.0607     6.0878
 1021   20.400   3476.79     3.4966     0.1252     1.0215     6.1047
 1022   20.420   3477.71     3.4435     0.1232     1.0025     6.0813
 1023   20.440   3478.66     3.3650     0.1230     0.9642     6.0794
 1024   20.460   3479.53     3.3653     0.1243     0.9274     6.0533
 1025   20.480   3480.52     3.3587     0.1267     0.8993     6.0367
 1026   20.500   3481.44     3.3213     0.1340     0.8815     6.0497
 1027   20.520   3482.38     3.2650     0.1339     0.8301     6.0194
 1028   20.540   3483.30     3.2880     0.1344     0.7870     6.0046
 1029   20.560   3484.19     3.2991     0.1340     0.7856     6.0480
 1030   20.580   3485.29     3.2637     0.1315     0.7968     6.0195
 1031   20.600   3486.24     3.2574     0.1290     0.8001     6.0232
 1032   20.620   3487.19     3.2535     0.1267     0.8009     6.0553
 1033   20.640   3488.15     3.3323     0.1233     0.8282     6.0379
 1034   20.660   3489.10     3.2699     0.1221     0.8252     6.0805
 1035   20.680   3490.02     3.2383     0.1208     0.8278     6.0447
 1036   20.700   3490.91     3.2433     0.1186     0.8466     6.0857
 1037   20.720   3491.79     3.2561     0.1193     0.8621     6.1008
 1038   20.740   3492.72     3.2688     0.1182     0.8729     6.0770
 1039   20.760   3493.62     3.3475     0.1155     0.8975     6.0836
 1040   20.780   3494.50     3.3493     0.1119     0.9155     6.0892
 1041   20.800   3495.49     3.3228     0.1098     0.9199     6.0991
 1042   20.820   3496.38     3.3190     0.1096     0.9355     6.1213
 1043   20.840   3497.32     3.2648     0.1096     0.9424     6.1218
 1044   20.860   3498.18     3.2174     0.1086     0.9410     6.1343
 1045   20.880   3499.14     3.1839     0.1066     0.9355     6.1778
 1046   20.900   3500.05     3.2016     0.1049     0.9445     6.1656
 1047   20.920   3500.95     3.2242     0.1046     0.9612     6.1321
 1048   20.940   3501.88     3.2499     0.1036     0.9781     6.1256
 1049   20.960   3502.83     3.2149     0.1044     0.9829     6.1777
 1050   20.980   3503.79     3.1870     0.1037     0.9862     6.1608
 1051   21.000   3504.72     3.1773     0.1026     0.9946     6.1828
 1052   21.020   3505.71     3.1642     0.1064     0.9963     6.1967
 1053   21.040   3506.62     3.1772     0.1086     1.0009     6.1814
 1054   21.060   3507.58     3.1587     0.1073     1.0119     6.1791
 1055   21.080   3508.46     3.2149     0.1034     1.0174     6.1960
 1056   21.100   3509.38     3.3108     0.1045     1.0215     6.2132
 1057   21.120   3510.32     3.2455     0.1065     1.0307     6.1864
 1058   21.140   3511.24     3.0951     0.1041     1.0402     6.2402
 1059   21.160   3512.19     3.0082     0.1013     1.0119     6.2015
 1060   21.180   3513.10     3.0821     0.0993     1.0018     6.2255
 1061   21.200   3514.05     3.1609     0.1020     1.0227     6.1873
 1062   21.220   3514.94     3.1441     0.1065     1.0357     6.2372
 1063   21.240   3515.86     3.1530     0.1078     1.0293     6.2194
 1064   21.260   3516.82     3.1727     0.1067     1.0141     6.1988
 1065   21.280   3517.70     3.1779     0.1073     0.9929     6.2236
 1066   21.300   3518.62     3.1693     0.1092     1.0040     6.2108
 1067   21.320   3519.54     3.1316     0.1110     1.0171     6.2216
 1068   21.340   3520.48     3.1693     0.1113     1.0215     6.2026
 1069   21.360   3521.38     3.2154     0.1110     1.0187     6.2138
 1070   21.380   3522.29     3.2668     0.1119     1.0128     6.2098
 1071   21.400   3523.23     3.2467     0.1112     1.0146     6.2430
 1072   21.420   3524.15     3.2200     0.1143     0.9840     6.2406
 1073   21.440   3525.06     3.2456     0.1108     0.9838     6.2467
 1074   21.460   3525.97     3.2149     0.1108     0.9870     6.2848
 1075   21.480   3527.01     3.1720     0.1087     0.9974     6.2738
 1076   21.500   3528.01     3.0892     0.1095     0.9989     6.2990
 1077   21.520   3529.07     3.1118     0.1088     1.0095     6.2179
 1078   21.540   3530.06     3.0784     0.1111     1.0077     6.2427
 1079   21.560   3531.17     3.0482     0.1146     1.0005     6.1949
 1080   21.580   3532.22     3.0638     0.1147     0.9872     6.1897
 1081   21.600   3533.17     3.1258     0.1155     1.0034     6.2053
 1082   21.620   3534.09     3.1098     0.1147     1.0032     6.2040
 1083   21.640   3535.09     3.0603     0.1120     1.0305     6.1911
 1084   21.660   3536.02     2.9994     0.1118     1.0427     6.2314
 1085   21.680   3536.95     2.9839     0.1102     1.0653     6.2235
 1086   21.700   3537.88     2.9114     0.1058     1.0802     6.2368
 1087   21.720   3538.81     2.8954     0.1044     1.0585     6.2488
 1088   21.740   3539.70     2.9840     0.1022     1.0443     6.2752
 1089   21.760   3540.57     3.0021     0.0983     1.0558     6.2801
 1090   21.780   3541.53     2.9454     0.0981     1.0551     6.2686
 1091   21.800   3542.44     2.9478     0.0984     1.0472     6.2078
 1092   21.820   3543.38     2.9395     0.0974     1.0405     6.1930
 1093   21.840   3544.26     2.9272     0.0981     1.0415     6.1704
 1094   21.860   3545.18     2.9004     0.0982     1.0248     6.1621
 1095   21.880   3546.14     2.8834     0.0969     1.0062     6.1149
 1096   21.900   3547.05     2.9347     0.0965     0.9936     6.1539
 1097   21.920   3547.98     2.9247     0.0984     0.9938     6.1128
 1098   21.940   3548.92     2.9085     0.1002     0.9911     6.1158
 1099   21.960   3549.85     2.9079     0.1032     0.9822     6.1194
 1100   21.980   3550.79     2.9012     0.1040     0.9800     6.1701
 1101   22.000   3551.79     2.8996     0.1051     0.9760     6.1755
 1102   22.020   3552.91     2.8826     0.1047     0.9537     6.1872
 1103   22.040   3553.92     2.9506     0.1035     0.9465     6.1793
 1104   22.060   3554.82     2.9700     0.1040     0.9554     6.1977
 1105   22.080   3555.81     2.9353     0.1061     0.9554     6.2177
 1106   22.100   3556.71     2.8491     0.1070     0.9485     6.2345
 1107   22.120   3557.68     2.8095     0.1068     0.9021     6.2476
 1108   22.140   3558.55     2.8720     0.1047     0.8766     6.2649
 1109   22.160   3559.55     2.8963     0.1022     0.8637     6.2448
 1110   22.180   3560.46     2.9382     0.1054     0.8738     6.2953
 1111   22.200   3561.37     2.9843     0.1070     0.8725     6.2779
 1112   22.220   3562.27     2.9918     0.1078     0.8614     6.3135
 1113   22.240   3563.16     3.0225     0.1088     0.8425     6.3296
 1114   22.260   3564.15     2.9879     0.1104     0.7981     6.3279
 1115   22.280   3565.02     2.9485     0.1106     0.8043     6.3520
 1116   22.300   3565.95     2.9280     0.1093     0.8069     6.3452
 1117   22.320   3566.90     2.9762     0.1101     0.8158     6.3563
 1118   22.340   3567.84     3.0300     0.1123     0.8308     6.3656
 1119   22.360   3568.71     3.0803     0.1114     0.8520     6.4097
 1120   22.380   3569.68     3.1671     0.1106     0.8846     6.4227
 1121   22.400   3570.70     3.1388     0.1105     0.9146     6.4123
 1122   22.420   3571.79     3.1010     0.1101     0.9097     6.4181
 1123   22.440   3572.83     3.0453     0.1091     0.8991     6.4418
 1124   22.460   3573.79     3.0341     0.1090     0.8922     6.4496
 1125   22.480   3574.75     3.0136     0.1093     0.8925     6.4642
 1126   22.500   3575.70     3.0070     0.1104     0.9011     6.4756
 1127   22.520   3576.58     3.0485     0.1121     0.9108     6.5037
 1128   22.540   3577.57     3.0670     0.1138     0.9188     6.5436
 1129   22.560   3578.49     3.0341     0.1131     0.9155     6.5373
 1130   22.580   3579.42     3.0085     0.1117     0.9069     6.5682
 1131   22.600   3580.32     3.0147     0.1112     0.9176     6.5415
 1132   22.620   3581.24     3.0692     0.1128     0.9470     6.5754
 1133   22.640   3582.23     3.1270     0.1141     0.9770     6.6011
 1134   22.660   3583.15     3.1210     0.1119     0.9787     6.5602
 1135   22.680   3584.11     3.1149     0.1112     0.9769     6.6065
 1136   22.700   3585.02     3.0910     0.1107     0.9859     6.6140
 1137   22.720   3585.91     3.1051     0.1109     1.0038     6.6187
 1138   22.740   3586.83     3.0940     0.1072     1.0154     6.6053
 1139   22.760   3587.72     3.0781     0.1036     1.0265     6.6416
 1140   22.780   3588.67     3.0319     0.1037     1.0323     6.6609
 1141   22.800   3589.63     2.9932     0.1009     1.0410     6.6783
 1142   22.820   3590.54     2.9512     0.0966     1.0473     6.6704
 1143   22.840   3591.43     2.9272     0.0999     1.0528     6.6601
 1144   22.860   3592.59     2.8927     0.0997     1.0557     6.6578
 1145   22.880   3593.76     2.8943     0.0962     1.0677     6.6784
 1146   22.900   3594.88     2.8899     0.0946     1.0795     6.6678
 1147   22.920   3596.04     2.8728     0.0948     1.0861     6.6855
 1148   22.940   3597.36     2.8496     0.0949     1.1133     6.6960
 1149   22.960   3598.42     2.8573     0.0948     1.1124     6.6815
 1150   22.980   3599.44     2.8965     0.0915     1.0944     6.7017
 1151   23.000   3600.36     2.8743     0.0948     1.0856     6.7078
 1152   23.020   3601.34     2.8913     0.0971     1.0768     6.7111
 1153   23.040   3602.23     2.8577     0.0975     1.0858     6.6818
 1154   23.060   3603.14     2.8028     0.0971     1.0962     6.7267
 1155   23.080   3604.20     2.8137     0.0973     1.1077     6.7184
 1156   23.100   3605.15     2.8575     0.0995     1.1230     6.7020
 1157   23.120   3606.06     2.8289     0.1001     1.1329     6.7285
 1158   23.140   3606.98     2.7742     0.0995     1.1232     6.6895
 1159   23.160   3607.97     2.7534     0.1005     1.0725     6.7096
 1160   23.180   3608.87     2.7907     0.1003     1.0528     6.7404
 1161   23.200   3609.75     2.8141     0.1007     1.0774     6.7643
 1162   23.220   3610.68     2.7936     0.1014     1.0632     6.7317
 1163   23.240   3611.64     2.8583     0.1007     1.0476     6.7283
 1164   23.260   3612.56     2.8560     0.0993     1.0488     6.7868
 1165   23.280   3613.44     2.8217     0.1008     1.0468     6.7921
 1166   23.300   3614.42     2.7646     0.1034     1.0677     6.7935
 1167   23.320   3615.50     2.7052     0.1035     1.0491     6.7917
 1168   23.340   3616.66     2.7328     0.1027     1.0283     6.8333
 1169   23.360   3617.74     2.7449     0.1015     1.0125     6.8043
 1170   23.380   3618.90     2.7561     0.1032     1.0174     6.8005
 1171   23.400   3620.07     2.7549     0.1028     1.0131     6.8015
 1172   23.420   3621.04     2.8073     0.1043     1.0150     6.8260
 1173   23.440   3621.94     2.8083     0.1050     1.0182     6.8170
 1174   23.460   3622.92     2.7820     0.1057     1.0259     6.8447
 1175   23.480   3623.85     2.7236     0.1024     1.0265     6.8356
 1176   23.500   3624.79     2.7501     0.1028     1.0056     6.8453
 1177   23.520   3625.71     2.7623     0.0996     1.0157     6.8668
 1178   23.540   3626.70     2.7186     0.0968     1.0159     6.9048
 1179   23.560   3627.62     2.6727     0.0936     0.9950     6.9381
 1180   23.580   3628.54     2.6415     0.0961     0.9527     6.9620
 1181   23.600   3629.42     2.5980     0.0932     0.9509     6.9556
 1182   23.620   3630.41     2.5376     0.0946     0.8717     6.9683
 1183   23.640   3631.32     2.5537     0.0933     0.8069     6.9684
 1184   23.660   3632.30     2.5066     0.0891     0.7997     6.9758
 1185   23.680   3633.30     2.3972     0.0895     0.8209     6.9947
 1186   23.700   3634.33     2.3198     0.0934     0.7774     7.0087
 1187   23.720   3635.30     2.3464     0.0911     0.7319     7.0106
 1188   23.740   3636.26     2.4179     0.0916     0.7086     7.0616
 1189   23.760   3637.18     2.4329     0.0955     0.7033     7.0731
 1190   23.780   3638.56     2.4167     0.0968     0.7119     7.0661
 1191   23.800   3639.69     2.4579     0.0961     0.7195     7.0587
 1192   23.820   3640.64     2.4957     0.0950     0.7186     7.1057
 1193   23.840   3641.60     2.5334     0.0938     0.7419     7.1163
 1194   23.860   3642.56     2.6142     0.0948     0.7608     7.1695
 1195   23.880   3643.43     2.6834     0.0961     0.7663     7.2283
 1196   23.900   3644.39     2.7144     0.0982     0.7644     7.2226
 1197   23.920   3645.30     2.7727     0.0992     0.7465     7.2399
 1198   23.940   3646.26     2.8471     0.1004     0.7364     7.2564
 1199   23.960   3647.17     2.8290     0.1008     0.7482     7.2813
 1200   23.980   3648.14     2.7762     0.1017     0.7662     7.2841
 1201   24.000   3649.05     2.7447     0.0975     0.7930     7.2740
 1202   24.020   3650.00     2.7217     0.0924     0.8127     7.3135
 1203   24.040   3650.93     2.7085     0.0897     0.8270     7.2712
 1204   24.060   3651.86     2.7097     0.0909     0.8375     7.2956
 1205   24.080   3652.80     2.7454     0.0892     0.8518     7.3173
 1206   24.100   3653.74     2.8072     0.0866     0.8642     7.3046
 1207   24.120   3654.82     2.8716     0.0856     0.8648     7.3350
 1208   24.140   3656.14     2.9835     0.0839     0.8693     7.3557
 1209   24.160   3657.37     3.0568     0.0818     0.9089     7.3788
 1210   24.180   3658.60     3.1252     0.0753     0.9676     7.3710
 1211   24.200   3660.01     3.4120     0.0779     1.0060     7.3833
 1212   24.220   3661.40     3.8143     0.0835     1.0318     7.3851
 1213   24.240   3662.81     4.4953     0.0922     1.0232     7.4200
 1214   24.260   3664.02     5.2239     0.0955     0.8660     7.4523
 1215   24.280   3665.03     5.8555     0.1062     0.6016     7.4318
 1216   24.300   3666.24     6.5479     0.1202     0.4542     7.4592
 1217   24.320   3667.30     7.1963     0.1348     0.3757     7.4825
 1218   24.340   3668.32     7.8935     0.1434     0.2359     7.4863
 1219   24.360   3669.22     8.2527     0.1620     0.1268     7.5121
 1220   24.380   3670.39     8.5477     0.1782     0.0374     7.5291
 1221   24.400   3671.57     8.7205     0.1639     0.0035     7.5215
 1222   24.420   3672.73     8.8400     0.1584    -0.0392     7.5088
 1223   24.440   3673.86     8.5733     0.1647    -0.0719     7.5230
 1224   24.460   3675.57     8.6984     0.1693    -0.0856     7.5008
 1225   24.480   3677.15     8.8497     0.1785    -0.0893     7.5192
 1226   24.500   3678.15     8.5889     0.1687    -0.1342     7.5176
 1227   24.520   3679.07     7.9063     0.1679    -0.1480     7.5399
 1228   24.540   3680.12     7.3327     0.1628    -0.1494     7.5829
 1229   24.560   3680.97     6.6597     0.1667    -0.1509     7.5328
 1230   24.580   3682.01     6.1797     0.1410    -0.1467     7.5572
 1231   24.600   3683.21     5.9184     0.1328    -0.1448     7.5757
 1232   24.620   3684.53     5.6397     0.1342    -0.1380     7.6139
 1233   24.640   3685.73     5.3207     0.1171    -0.1373     7.6246
 1234   24.660   3686.79     4.7704     0.1125    -0.1310     7.6583
 1235   24.680   3687.71     4.1599     0.1000    -0.1251     7.6680
 1236   24.700   3688.55     3.9803     0.0861    -0.1211     7.6453
 1237   24.720   3689.31     3.7063     0.0752    -0.1167     7.6325
 1238   24.740   3690.14     3.5176     0.0719    -0.1171     7.6609
 1239   24.760   3690.91     3.3296     0.0659    -0.1150     7.6090
 1240   24.780   3691.71     3.1701     0.0653    -0.1141     7.6596
 1241   24.800   3692.76     3.1098     0.0642    -0.1135     7.6567
 1242   24.820   3693.93     3.0754     0.0620    -0.1118     7.6566
 1243   24.840   3695.19     3.0307     0.0628    -0.1096     7.6639
 1244   24.860   3696.36     3.0725     0.0608    -0.1078     7.6691
 1245   24.880   3697.34     3.1065     0.0594    -0.1061     7.6302
 1246   24.900   3698.40     3.1841     0.0646    -0.1038     7.6815
 1247   24.920   3699.45     3.3677     0.0704    -0.1008     7.6884
 1248   24.940   3700.51     3.6832     0.0822    -0.0977     7.7174
 1249   24.960   3701.52     4.2530     0.1009    -0.0953     7.7435
 1250   24.980   3703.02     5.0957     0.1146    -0.0957     7.7490
 1251   25.000   3704.35     5.8433     0.1265    -0.0996     7.7287
 1252   25.020   3705.27     6.2457     0.1361    -0.1033     7.7643
 1253   25.040   3706.25     6.7138     0.1490    -0.1059     7.7553
 1254   25.060   3707.27     7.1016     0.1668    -0.1067     7.7451
 1255   25.080   3708.34     7.0877     0.1568    -0.1159     7.7517
 1256   25.100   3709.28     6.5555     0.1338    -0.1238     7.7295
 1257   25.120   3710.71     5.5666     0.1354    -0.1197     7.7395
 1258   25.140   3712.82     4.7687     0.1338    -0.1120     7.7136
 1259   25.160   3713.82     4.3541     0.1294    -0.1003     7.7274
 1260   25.180   3714.64     3.7015     0.1262    -0.0888     7.7549
 1261   25.200   3715.42     3.5176     0.1184    -0.0842     7.7422
 1262   25.220   3716.28     3.4621     0.1093    -0.0842     7.7859
 1263   25.240   3717.08     3.5462     0.1086    -0.0861     7.7542
 1264   25.260   3717.92     3.5683     0.1152    -0.0864     7.7789
 1265   25.280   3719.06     3.4137     0.1169    -0.0856     7.7774
 1266   25.300   3720.47     3.3602     0.1210    -0.0836     7.7755
 1267   25.320   3721.46     3.3506     0.1164    -0.0817     7.7870
 1268   25.340   3722.42     3.3611     0.1120    -0.0795     7.7705
 1269   25.360   3723.34     3.3269     0.1079    -0.0786     7.7483
 1270   25.380   3724.24     3.3337     0.1072    -0.0768     7.7666
 1271   25.400   3725.04     3.2972     0.1063    -0.0763     7.7886
 1272   25.420   3725.86     3.2957     0.1054    -0.0760     7.8121
 1273   25.440   3726.72     3.3121     0.1032    -0.0754     7.8164
 1274   25.460   3727.56     3.3274     0.1052    -0.0741     7.8002
 1275   25.480   3728.44     3.3049     0.1038    -0.0727     7.7908
 1276   25.500   3729.24     3.2608     0.0974    -0.0726     7.8161
 1277   25.520   3730.12     3.2359     0.0965    -0.0724     7.8319
 1278   25.540   3730.93     3.2122     0.0944    -0.0721     7.8268
 1279   25.560   3731.77     3.2024     0.0958    -0.0707     7.8446
 1280   25.580   3732.64     3.1819     0.0979    -0.0703     7.8071
 1281   25.600   3733.60     3.1986     0.1022    -0.0693     7.8370
 1282   25.620   3734.66     3.1542     0.1087    -0.0696     7.8147
 1283   25.640   3735.67     3.1369     0.0995    -0.0706     7.8212
 1284   25.660   3736.77     3.1654     0.1116    -0.0715     7.8116
 1285   25.680   3737.74     3.2501     0.1119    -0.0702     7.7854
 1286   25.700   3738.73     3.2550     0.1181    -0.0683     7.8036
 1287   25.720   3739.60     3.2168     0.1031    -0.0677     7.7995
 1288   25.740   3740.66     3.1339     0.1223    -0.0672     7.8358
 1289   25.760   3742.11     3.2151     0.1249    -0.0661     7.8485
 1290   25.780   3742.96     3.2634     0.1231    -0.0622     7.8097
 1291   25.800   3744.12     3.2860     0.1246    -0.0593     7.8501
 1292   25.820   3745.22     3.3611     0.1268    -0.0580     7.8618
 1293   25.840   3747.14     3.3260     0.1248    -0.0584     7.8715
 1294   25.860   3748.05     3.4428     0.1239    -0.0584     7.8283
 1295   25.880   3748.90     3.3820     0.1222    -0.0585     7.8418
 1296   25.900   3749.79     3.3395     0.1261    -0.0577     7.8682
 1297   25.920   3750.62     3.2936     0.1232    -0.0579     7.8714
 1298   25.940   3751.42     3.2481     0.1201    -0.0595     7.8981
 1299   25.960   3752.36     3.1786     0.1258    -0.0604     7.8894
 1300   25.980   3753.14     3.1079     0.1276    -0.0598     7.8909
 1301   26.000   3754.19     3.0661     0.1255    -0.0598     7.8809
 1302   26.020   3755.11     3.1051     0.1220    -0.0579     7.8822
 1303   26.040   3756.23     3.0083     0.1160    -0.0531     7.8881
 1304   26.060   3757.45     2.9568     0.1139    -0.0509     7.8588
 1305   26.080   3758.46     3.0449     0.1160    -0.0505     7.8582
 1306   26.100   3759.29     3.0845     0.1147    -0.0510     7.8741
 1307   26.120   3760.18     3.0969     0.1179    -0.0535     7.8941
 1308   26.140   3760.92     3.1616     0.1223    -0.0526     7.9265
 1309   26.160   3761.97     3.1834     0.1228    -0.0507     7.9279
 1310   26.180   3762.78     3.1505     0.1261    -0.0513     7.9083
 1311   26.200   3763.75     3.1718     0.1261    -0.0530     7.9211
 1312   26.220   3764.59     3.2175     0.1234    -0.0525     7.9158
 1313   26.240   3765.41     3.2008     0.1148    -0.0511     7.9167
 1314   26.260   3766.30     3.1522     0.1169    -0.0519     7.9398
 1315   26.280   3767.18     3.1190     0.1219    -0.0517     7.9517
 1316   26.300   3768.16     3.1231     0.1195    -0.0530     7.9552
 1317   26.320   3768.97     3.0900     0.1246    -0.0538     7.9582
 1318   26.340   3769.85     3.0154     0.1353    -0.0542     7.9698
 1319   26.360   3771.02     2.8743     0.1374    -0.0537     8.0100
 1320   26.380   3772.46     2.8758     0.1364    -0.0529     8.0117
 1321   26.400   3773.83     2.9030     0.1293    -0.0530     7.9968
 1322   26.420   3775.28     2.9769     0.1296    -0.0515     8.0204
 1323   26.440   3776.57     3.0982     0.1269    -0.0485     8.0161
 1324   26.460   3777.50     3.1635     0.1236    -0.0463     8.0550
 1325   26.480   3778.40     3.1850     0.1208    -0.0452     8.0455
 1326   26.500   3779.29     3.1604     0.1225    -0.0454     8.0409
 1327   26.520   3780.45     3.1320     0.1246    -0.0424     8.0441
 1328   26.540   3781.32     3.0512     0.1202    -0.0455     8.0743
 1329   26.560   3782.46     3.0497     0.1214    -0.0465     8.0580
 1330   26.580   3783.55     3.0659     0.1253    -0.0467     8.0147
 1331   26.600   3784.66     3.0355     0.1280    -0.0450     8.0300
 1332   26.620   3785.69     2.9905     0.1286    -0.0427     8.0337
 1333   26.640   3786.69     2.8947     0.1250    -0.0442     8.0638
 1334   26.660   3787.93     2.8782     0.1196    -0.0438     8.0883
 1335   26.680   3788.85     2.9359     0.1134    -0.0402     8.1039
 1336   26.700   3789.92     2.9399     0.1116    -0.0348     8.1261
 1337   26.720   3790.84     2.9716     0.1111    -0.0350     8.1391
 1338   26.740   3791.93     3.1380     0.1117    -0.0357     8.1586
 1339   26.760   3792.74     3.2826     0.1113    -0.0351     8.2020
 1340   26.780   3793.74     3.3306     0.1185    -0.0351     8.2193
 1341   26.800   3794.65     3.3219     0.1242    -0.0356     8.2102
 1342   26.820   3795.72     3.3138     0.1247    -0.0354     8.2077
 1343   26.840   3796.66     3.3188     0.1235    -0.0358     8.2234
 1344   26.860   3797.68     3.3304     0.1231    -0.0353     8.2416
 1345   26.880   3798.64     3.3072     0.1247    -0.0350     8.2065
 1346   26.900   3799.65     3.2468     0.1300    -0.0359     8.2491
 1347   26.920   3800.57     3.1981     0.1301    -0.0366     8.2103
 1348   26.940   3801.62     3.1006     0.1318    -0.0393     8.2691
 1349   26.960   3802.67     3.0659     0.1376    -0.0391     8.2285
 1350   26.980   3803.84     3.0675     0.1377    -0.0360     8.2312
 1351   27.000   3804.81     3.0517     0.1424    -0.0345     8.2272
 1352   27.020   3805.99     3.0727     0.1436    -0.0302     8.2024
 1353   27.040   3807.24     3.0296     0.1400    -0.0288     8.2105
 1354   27.060   3808.62     3.0361     0.1264    -0.0293     8.2171
 1355   27.080   3809.73     3.1115     0.0991    -0.0277     8.1967
 1356   27.100   3810.71     3.1517     0.1084    -0.0238     8.2122
 1357   27.120   3811.87     3.2229     0.1122    -0.0186     8.2007
 1358   27.140   3812.81     3.2673     0.1180    -0.0162     8.1709
 1359   27.160   3813.98     3.3496     0.1102    -0.0177     8.1344
 1360   27.180   3815.60     3.3253     0.1042    -0.0185     8.1057
 1361   27.200   3819.00     3.3362     0.1080    -0.0158     8.1239
 1362   27.220   3820.36     3.4760     0.1107    -0.0107     8.1125
 1363   27.240   3821.58     3.4383     0.1177    -0.0075     8.0708
 1364   27.260   3822.60     3.4979     0.1204    -0.0057     8.0902
 1365   27.280   3823.60     3.6101     0.1183    -0.0026     8.0440
 1366   27.300   3824.53     3.6701     0.1200     0.0003     8.0660
 1367   27.320   3825.49     3.6969     0.1054     0.0041     8.1010
 1368   27.340   3826.72     3.6566     0.1272     0.0058     8.1122
 1369   27.360   3827.81     3.6868     0.1264     0.0068     8.1073
 1370   27.380   3828.72     3.6679     0.1222     0.0093     8.1195
 1371   27.400   3829.76     3.7258     0.1227     0.0101     8.1346
 1372   27.420   3830.88     3.7645     0.1270     0.0132     8.1293
 1373   27.440   3832.77     3.8277     0.1273     0.0191     8.1339
 1374   27.460   3833.90     3.8791     0.1181     0.0210     8.1474
 1375   27.480   3834.85     3.9100     0.1260     0.0230     8.1604
 1376   27.500   3836.10     3.8833     0.1280     0.0258     8.1357
 1377   27.520   3837.11     3.8789     0.1190     0.0287     8.1333
 1378   27.540   3838.23     3.8806     0.1126     0.0300     8.1424
 1379   27.560   3839.52     3.8105     0.1181     0.0319     8.1334
 1380   27.580   3840.87     3.8319     0.1181     0.0354     8.1284
 1381   27.600   3842.04     3.8403     0.1228     0.0380     8.1437
 1382   27.620   3843.05     3.8187     0.1197     0.0386     8.1492
 1383   27.640   3844.68     3.7773     0.1214     0.0401     8.1363
 1384   27.660   3846.40     3.7558     0.1257     0.0428     8.1603
 1385   27.680   3847.68     3.7243     0.1253     0.0429     8.1504
 1386   27.700   3848.78     3.7740     0.1241     0.0413     8.1449
 1387   27.720   3849.89     3.8349     0.1139     0.0428     8.1260
 1388   27.740   3850.78     3.8354     0.1177     0.0447     8.1133
 1389   27.760   3851.77     3.8870     0.1149     0.0486     8.1412
 1390   27.780   3852.65     3.9895     0.1269     0.0545     8.1822
 1391   27.800   3853.79     3.9095     0.1279     0.0552     8.1763
 1392   27.820   3854.82     3.8545     0.1306     0.0541     8.1596
 1393   27.840   3856.48     3.8346     0.1215     0.0552     8.1646
 1394   27.860   3858.07     3.8802     0.1314     0.0596     8.1606
 1395   27.880   3860.04     3.9712     0.1355     0.0633     8.1790
 1396   27.900   3861.29     4.0165     0.1340     0.0644     8.1806
 1397   27.920   3862.52     4.0909     0.1320     0.0667     8.1867
 1398   27.940   3863.92     3.9621     0.1409     0.0645     8.1675
 1399   27.960   3865.56     3.9552     0.1386     0.0653     8.1774
 1400   27.980   3866.60     3.9166     0.1383     0.0659     8.1757
