Projektnummer           ,6409098
Sondierung              ,CPT04
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   10.50,    0.248,  0.00000,    0.224,    0.000,    0.000,     0.00
   10.52,    0.367,  0.00000,    0.224,   -0.003,    0.000,    16.50
   10.54,    1.152,  0.00000,    0.222,   -0.006,    0.000,    15.85
   10.56,    1.939,  0.01081,    0.387,   -0.008,    0.568,    15.64
   10.58,    2.515,  0.01149,    0.527,   -0.011,    0.483,    16.31
   10.60,    4.045,  0.01498,    0.530,   -0.040,    0.422,    14.11
   10.62,    5.598,  0.01975,    0.525,   -0.067,    0.366,    13.05
   10.64,    5.712,  0.02809,    0.516,   -0.056,    0.490,    16.10
   10.66,    5.663,  0.04018,    0.514,   -0.050,    0.709,    17.70
   10.68,    5.566,  0.04473,    0.512,   -0.053,    0.802,    19.14
   10.70,    5.474,  0.03799,    0.510,   -0.053,    0.688,    19.36
   10.72,    5.365,  0.03102,    0.506,   -0.062,    0.578,    20.16
   10.74,    5.427,  0.02701,    0.505,   -0.120,    0.500,    20.16
   10.76,    5.577,  0.02506,    0.507,   -0.183,    0.452,    19.88
   10.78,    5.668,  0.02725,    0.508,   -0.207,    0.481,    20.24
   10.80,    5.629,  0.03052,    0.503,   -0.185,    0.540,    20.24
   10.82,    5.563,  0.03173,    0.502,   -0.157,    0.567,    20.36
   10.84,    5.529,  0.03503,    0.503,   -0.139,    0.633,    20.68
   10.86,    5.554,  0.03627,    0.501,   -0.127,    0.655,    20.68
   10.88,    5.631,  0.03629,    0.499,   -0.113,    0.648,    20.68
   10.90,    5.654,  0.03687,    0.499,   -0.111,    0.653,    20.92
   10.92,    5.680,  0.03879,    0.500,   -0.100,    0.684,    20.96
   10.94,    5.705,  0.04009,    0.494,   -0.090,    0.704,    21.12
   10.96,    5.730,  0.03853,    0.500,   -0.084,    0.674,    21.12
   10.98,    5.762,  0.03755,    0.493,   -0.077,    0.654,    21.12
   11.00,    5.826,  0.03349,    0.491,   -0.072,    0.579,    21.12
   11.02,    5.981,  0.03355,    0.498,   -0.082,    0.570,    21.20
   11.04,    6.217,  0.04633,    0.491,   -0.102,    0.760,    21.43
   11.06,    6.352,  0.06586,    0.492,   -0.109,    1.045,    21.38
   11.08,    6.313,  0.07066,    0.497,   -0.110,    1.110,    21.32
   11.10,    5.752,  0.07600,    0.495,   -0.090,    1.252,    21.56
   11.12,    5.364,  0.06057,    0.491,   -0.036,    1.106,    21.56
   11.14,    5.424,  0.05199,    0.492,   -0.121,    0.972,    21.55
   11.16,    6.223,  0.05191,    0.493,   -0.258,    0.876,    21.12
   11.18,    6.878,  0.05406,    0.492,   -0.359,    0.814,    21.05
   11.20,    7.086,  0.04085,    0.494,   -0.388,    0.580,    20.68
   11.22,    7.261,  0.03494,    0.491,   -0.388,    0.481,    21.40
   11.24,    7.412,  0.03346,    0.489,   -0.383,    0.452,    21.56
   11.26,    7.775,  0.03601,    0.489,   -0.379,    0.465,    21.56
   11.28,    8.134,  0.04126,    0.491,   -0.381,    0.508,    21.56
   11.30,    8.167,  0.06226,    0.495,   -0.380,    0.762,    21.59
   11.32,    8.024,  0.07528,    0.492,   -0.376,    0.936,    21.60
   11.34,    7.808,  0.04943,    0.491,   -0.373,    0.630,    22.00
   11.36,    7.597,  0.03912,    0.490,   -0.369,    0.513,    21.81
   11.38,    7.560,  0.04101,    0.489,   -0.365,    0.544,    22.00
   11.40,    7.708,  0.05989,    0.489,   -0.362,    0.780,    22.00
   11.42,    7.783,  0.08379,    0.490,   -0.387,    1.076,    22.00
   11.44,    7.383,  0.09633,    0.490,   -0.392,    1.289,    22.00
   11.46,    6.718,  0.08178,    0.493,   -0.387,    1.198,    22.44
   11.48,    6.611,  0.05510,    0.492,   -0.384,    0.838,    22.44
   11.50,    6.981,  0.05845,    0.488,   -0.382,    0.850,    22.36
   11.52,    7.497,  0.06560,    0.486,   -0.410,    0.886,    22.00
   11.54,    7.894,  0.06639,    0.486,   -0.431,    0.847,    21.63
   11.56,    7.900,  0.06150,    0.488,   -0.437,    0.778,    22.00
   11.58,    7.342,  0.07368,    0.485,   -0.435,    0.946,    22.64
   11.60,    6.047,  0.08360,    0.484,   -0.433,    1.331,    22.53
   11.62,    5.176,  0.07766,    0.491,   -0.429,    1.452,    23.29
   11.64,    4.221,  0.06009,    0.487,   -0.421,    1.369,    22.75
