Projektnummer           ,6409098
Sondierung              ,CPT02
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
    3.00,    0.010,  0.00000,    0.217,    0.000,    0.000,     0.00
    3.02,    0.047,  0.00000,    0.219,    0.000,    0.000,    18.04
    3.04,    0.227,  0.00000,    0.225,   -0.002,    0.000,    18.73
    3.06,    0.962,  0.02311,    0.221,   -0.002,    3.464,    18.48
    3.08,    1.405,  0.03315,    0.344,   -0.002,    2.311,    18.71
    3.10,    1.707,  0.04568,    0.537,   -0.003,    3.217,    18.92
    3.12,    4.138,  0.05806,    0.526,   -0.002,    1.501,    14.23
    3.14,    6.813,  0.07258,    0.512,   -0.002,    1.168,     9.94
    3.16,   11.573,  0.08708,    0.458,   -0.002,    0.777,     5.72
    3.18,   14.637,  0.09882,    0.484,   -0.002,    0.679,     7.97
    3.20,   17.236,  0.11227,    0.505,   -0.001,    0.658,     8.38
    3.22,   19.850,  0.12267,    0.487,   -0.001,    0.626,     8.71
    3.24,   21.681,  0.13397,    0.497,   -0.001,    0.627,     9.68
    3.26,   23.655,  0.14613,    0.488,   -0.001,    0.631,    10.08
    3.28,   25.454,  0.15645,    0.494,   -0.001,    0.622,    10.87
    3.30,   26.696,  0.16627,    0.494,   -0.001,    0.624,    11.95
    3.32,   27.469,  0.17817,    0.486,   -0.001,    0.652,    13.64
    3.34,   28.433,  0.18709,    0.492,    0.000,    0.660,    14.08
    3.36,   29.541,  0.19484,    0.484,    0.000,    0.666,    14.08
    3.38,   29.987,  0.20023,    0.488,    0.000,    0.668,    15.40
    3.40,   30.577,  0.20597,    0.485,    0.001,    0.676,    15.91
    3.42,   31.056,  0.21127,    0.483,    0.000,    0.682,    16.55
    3.44,   31.523,  0.21412,    0.485,    0.000,    0.684,    17.15
    3.46,   32.084,  0.21702,    0.479,    0.001,    0.678,    17.16
    3.48,   32.620,  0.22561,    0.481,    0.001,    0.694,    17.43
    3.50,   33.131,  0.23200,    0.476,    0.001,    0.705,    17.60
    3.52,   33.373,  0.23450,    0.479,    0.001,    0.703,    18.14
    3.54,   33.381,  0.23415,    0.482,    0.001,    0.701,    19.02
    3.56,   33.228,  0.23555,    0.477,    0.002,    0.708,    19.48
    3.58,   33.005,  0.23672,    0.477,    0.002,    0.717,    20.12
    3.60,   33.212,  0.23549,    0.479,    0.002,    0.710,    20.12
    3.62,   33.285,  0.23469,    0.481,    0.002,    0.705,    20.24
    3.64,   33.012,  0.23359,    0.480,    0.002,    0.705,    20.24
    3.66,   32.672,  0.23279,    0.477,    0.003,    0.710,    20.68
    3.68,   32.385,  0.23030,    0.479,    0.003,    0.709,    20.30
    3.70,   32.232,  0.22881,    0.479,    0.003,    0.708,    20.72
    3.72,   31.840,  0.22823,    0.474,    0.003,    0.713,    20.68
    3.74,   31.415,  0.22786,    0.477,    0.003,    0.720,    21.12
    3.76,   30.870,  0.22569,    0.477,    0.003,    0.725,    21.03
    3.78,   30.248,  0.22188,    0.477,    0.005,    0.733,    21.26
    3.80,   29.554,  0.21664,    0.480,    0.004,    0.732,    21.37
    3.82,   28.760,  0.21307,    0.479,    0.004,    0.739,    21.31
    3.84,   28.109,  0.20871,    0.473,    0.005,    0.741,    21.88
    3.86,   27.704,  0.20348,    0.473,    0.005,    0.733,    21.56
    3.88,   27.449,  0.19872,    0.476,    0.005,    0.723,    21.98
    3.90,   27.117,  0.19665,    0.475,    0.006,    0.724,    21.91
    3.92,   26.740,  0.19160,    0.477,    0.006,    0.715,    22.00
    3.94,   26.404,  0.18892,    0.476,    0.006,    0.713,    21.76
    3.96,   25.937,  0.18722,    0.476,    0.006,    0.720,    22.12
    3.98,   25.618,  0.18554,    0.476,    0.008,    0.723,    22.00
    4.00,   25.376,  0.18457,    0.477,    0.006,    0.726,    22.38
    4.02,   25.225,  0.18585,    0.477,    0.006,    0.736,    22.30
    4.04,   25.038,  0.18821,    0.475,    0.007,    0.751,    22.21
    4.06,   24.916,  0.18867,    0.474,    0.006,    0.757,    22.32
    4.08,   24.824,  0.18833,    0.476,    0.007,    0.758,    22.44
    4.10,   24.576,  0.18719,    0.480,    0.007,    0.758,    22.44
    4.12,   24.049,  0.18560,    0.475,    0.007,    0.766,    22.44
    4.14,   23.515,  0.18390,    0.472,    0.008,    0.777,    22.62
    4.16,   22.992,  0.18164,    0.470,    0.008,    0.784,    22.51
    4.18,   22.484,  0.17919,    0.478,    0.008,    0.791,    22.47
    4.20,   22.003,  0.17701,    0.475,    0.009,    0.799,    22.88
    4.22,   21.566,  0.17472,    0.473,    0.008,    0.804,    22.88
    4.24,   21.147,  0.17325,    0.476,    0.009,    0.814,    22.53
    4.26,   20.749,  0.17150,    0.472,    0.009,    0.820,    22.88
    4.28,   20.413,  0.16990,    0.470,    0.009,    0.825,    23.18
    4.30,   20.095,  0.16727,    0.476,    0.009,    0.827,    22.88
    4.32,   19.694,  0.16448,    0.471,    0.009,    0.829,    22.88
    4.34,   19.355,  0.16234,    0.470,    0.009,    0.831,    23.28
    4.36,   19.187,  0.16253,    0.473,    0.010,    0.842,    23.16
    4.38,   19.007,  0.16062,    0.470,    0.010,    0.842,    23.04
    4.40,   18.877,  0.16084,    0.477,    0.010,    0.850,    22.93
    4.42,   18.759,  0.16009,    0.471,    0.010,    0.853,    22.95
    4.44,   18.746,  0.15907,    0.474,    0.010,    0.847,    23.07
    4.46,   18.559,  0.16052,    0.470,    0.011,    0.864,    23.19
    4.48,   18.720,  0.16132,    0.472,    0.010,    0.864,    23.31
    4.50,   18.631,  0.16063,    0.472,    0.011,    0.862,    22.53
    4.52,   18.723,  0.16294,    0.468,    0.010,    0.871,    22.18
    4.54,   18.870,  0.16438,    0.470,    0.010,    0.874,    22.00
    4.56,   18.759,  0.16490,    0.472,    0.011,    0.877,    21.56
    4.58,   18.754,  0.16565,    0.474,    0.011,    0.885,    21.52
    4.60,   18.875,  0.16527,    0.468,    0.011,    0.879,    21.55
    4.62,   18.635,  0.16345,    0.467,    0.012,    0.876,    21.12
    4.64,   18.879,  0.16465,    0.468,    0.012,    0.871,    20.78
    4.66,   19.164,  0.16714,    0.463,    0.012,    0.871,    20.68
    4.68,   19.550,  0.16713,    0.466,    0.011,    0.855,    20.39
    4.70,   20.038,  0.17192,    0.463,    0.009,    0.858,    20.09
    4.72,   20.631,  0.17802,    0.463,    0.011,    0.863,    19.50
