Projektnummer           ,6409098
Sondierung              ,CPT11
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   23.50,    0.075,  0.00000,    0.000,    0.000,    0.000,     0.00
   23.52,    0.435,  0.00000,    0.000,    0.000,    0.000,    15.67
   23.54,    0.718,  0.01600,    0.000,    0.000,    2.553,    16.74
   23.56,    1.330,  0.03870,    0.000,    0.000,    3.247,    17.30
   23.58,    3.420,  0.08072,    0.000,    0.000,    3.308,    16.57
   23.60,    6.322,  0.16646,    0.000,    0.000,    2.888,    14.36
   23.62,   12.599,  0.27483,    0.000,    0.000,    2.522,     8.50
   23.64,   22.590,  0.33092,    0.000,    0.000,    1.511,     5.39
   23.66,   27.796,  0.39719,    0.000,    0.000,    1.432,     7.92
   23.68,   30.349,  0.40127,    0.000,    0.000,    1.326,    10.00
   23.70,   34.040,  0.33293,    0.000,    0.000,    1.003,     8.97
   23.72,   39.433,  0.32430,    0.000,    0.000,    0.840,     8.26
   23.74,   45.983,  0.36603,    0.000,    0.000,    0.813,     7.04
   23.76,   52.149,  0.41005,    0.000,    0.000,    0.791,     8.66
   23.78,   58.353,  0.49624,    0.000,    0.000,    0.866,     8.17
   23.80,   63.245,  0.60697,    0.000,    0.000,    0.966,     9.24
   23.82,   66.646,  0.69200,    0.000,    0.000,    1.044,    10.12
   23.84,   67.806,  0.72083,    0.000,    0.000,    1.065,    11.88
   23.86,   67.983,  0.75410,    0.000,    0.000,    1.108,    12.77
   23.88,   67.655,  0.80429,    0.000,    0.000,    1.185,    14.06
   23.90,   68.380,  0.79006,    0.000,    0.000,    1.158,    14.20
   23.92,   70.291,  0.79374,    0.000,    0.000,    1.138,    13.64
   23.94,   71.248,  0.82642,    0.000,    0.000,    1.164,    13.85
   23.96,   72.166,  0.83959,    0.000,    0.000,    1.163,    14.79
   23.98,   72.191,  0.85031,    0.000,    0.000,    1.176,    16.20
   24.00,   71.710,  0.87459,    0.000,    0.000,    1.215,    18.09
   24.02,   71.786,  0.88090,    0.000,    0.000,    1.229,    18.48
   24.04,   72.163,  0.87846,    0.000,    0.000,    1.217,    18.92
   24.06,   71.783,  0.88474,    0.000,    0.000,    1.229,    19.14
   24.08,   70.282,  0.89684,    0.000,    0.000,    1.273,    19.80
   24.10,   69.443,  0.89388,    0.000,    0.000,    1.286,    20.04
   24.12,   69.174,  0.90344,    0.000,    0.000,    1.303,    20.04
   24.14,   67.474,  0.90667,    0.000,    0.000,    1.330,    20.24
   24.16,   65.266,  0.87027,    0.000,    0.000,    1.320,    20.88
   24.18,   63.338,  0.84420,    0.000,    0.000,    1.320,    20.84
   24.20,   61.228,  0.87941,    0.000,    0.000,    1.422,    21.12
   24.22,   61.029,  0.88654,    0.000,    0.000,    1.455,    21.12
   24.24,   62.638,  0.81554,    0.000,    0.000,    1.313,    21.09
   24.26,   63.524,  0.77141,    0.000,    0.000,    1.213,    21.11
   24.28,   63.353,  0.76756,    0.000,    0.000,    1.212,    21.12
   24.30,   64.858,  0.76919,    0.000,    0.000,    1.190,    20.78
   24.32,   71.242,  0.78995,    0.000,    0.000,    1.113,    19.80
   24.34,   76.564,  0.86433,    0.000,    0.000,    1.129,    20.14
   24.36,   79.940,  0.96064,    0.000,    0.000,    1.203,    19.72
   24.38,   82.335,  1.01345,    0.000,    0.000,    1.233,    18.96
   24.40,   83.820,  1.06817,    0.000,    0.000,    1.276,    19.36
   24.42,   82.931,  1.12415,    0.000,    0.000,    1.351,    20.24
   24.44,   81.288,  1.12717,    0.000,    0.000,    1.381,    19.80
   24.46,   79.483,  1.08917,    0.000,    0.000,    1.361,    20.24
   24.48,   77.754,  1.06042,    0.000,    0.000,    1.356,    20.65
   24.50,   75.346,  1.04157,    0.000,    0.000,    1.371,    20.68
   24.52,   74.287,  1.00894,    0.000,    0.000,    1.354,    20.68
   24.54,   74.822,  0.98250,    0.000,    0.000,    1.315,    20.81
   24.56,   74.623,  0.98505,    0.000,    0.000,    1.318,    20.85
   24.58,   74.322,  0.98892,    0.000,    0.000,    1.329,    21.12
   24.60,   75.017,  0.98710,    0.000,    0.000,    1.322,    20.93
   24.62,   76.592,  1.00350,    0.000,    0.000,    1.314,    20.68
   24.64,   77.335,  1.04105,    0.000,    0.000,    1.346,    20.68
   24.66,   78.349,  1.05155,    0.000,    0.000,    1.343,    20.58
   24.68,   79.743,  1.09068,    0.000,    0.000,    1.369,    20.04
   24.70,   81.775,  1.12624,    0.000,    0.000,    1.378,    19.80
   24.72,   82.950,  1.16270,    0.000,    0.000,    1.402,    19.80
   24.74,   83.944,  1.21239,    0.000,    0.000,    1.444,    19.36
   24.76,   84.657,  1.19907,    0.000,    0.000,    1.416,    19.53
   24.78,   84.618,  1.18078,    0.000,    0.000,    1.393,    19.31
   24.80,   83.686,  1.21288,    0.000,    0.000,    1.444,    20.20
   24.82,   83.118,  1.24834,    0.000,    0.000,    1.504,    20.51
   24.84,   83.866,  1.26082,    0.000,    0.000,    1.505,    20.24
   24.86,   83.269,  1.29462,    0.000,    0.000,    1.547,    20.68
   24.88,   80.814,  1.30229,    0.000,    0.000,    1.594,    21.02
   24.90,   78.628,  1.26351,    0.000,    0.000,    1.594,    21.12
   24.92,   76.555,  0.00000,    0.000,    0.000,    0.000,    21.12
   24.94,   74.301,  0.00000,    0.000,    0.000,    0.000,    21.12
   24.96,   73.198,  0.00000,    0.000,    0.000,    0.000,    21.21
   24.98,   71.927,  0.00000,    0.000,    0.000,    0.000,    21.42
   24.99,   70.318,  0.00000,    0.000,    0.000,    0.000,    21.56
