Projektnummer           ,6409098
Sondierung              ,CPT20
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   36.00,    0.050,  0.00000,    0.000,    0.000,    0.000,     0.00
   36.02,    0.271,  0.00000,    0.000,    0.000,    0.000,    18.04
   36.04,    1.277,  0.03087,    0.000,    0.000,    3.576,    18.04
   36.06,    4.070,  0.07212,    0.000,    0.000,    1.915,    15.61
   36.08,    7.239,  0.15972,    0.000,    0.000,    2.527,    13.70
   36.10,   20.897,  0.23430,    0.000,    0.000,    1.198,     2.64
   36.12,   40.481,  0.36551,    0.000,    0.000,    0.914,     3.43
   36.14,   50.617,  0.44030,    0.000,    0.000,    0.878,     6.88
   36.16,   60.554,  0.50304,    0.000,    0.000,    0.847,     4.40
   36.18,   69.205,  0.54291,    0.000,    0.000,    0.797,     5.29
   36.20,   76.060,  0.58611,    0.000,    0.000,    0.774,     6.72
   36.22,   80.521,  0.61677,    0.000,    0.000,    0.770,     8.36
   36.24,   81.973,  0.65162,    0.000,    0.000,    0.796,    10.56
   36.26,   82.819,  0.66485,    0.000,    0.000,    0.801,    12.28
   36.28,   79.001,  0.66558,    0.000,    0.000,    0.827,    18.05
   36.30,   71.564,  0.62718,    0.000,    0.000,    0.837,    20.16
   36.32,   63.293,  0.62112,    0.000,    0.000,    0.923,    21.12
   36.34,   54.661,  0.60697,    0.000,    0.000,    1.020,    21.64
   36.36,   48.903,  0.62856,    0.000,    0.000,    1.282,    22.00
   36.38,   44.936,  0.66336,    0.000,    0.000,    1.430,    22.36
   36.40,   42.589,  0.67188,    0.000,    0.000,    1.546,    22.27
   36.42,   42.247,  0.64419,    0.000,    0.000,    1.529,    22.26
   36.44,   43.416,  0.66221,    0.000,    0.000,    1.535,    22.36
   36.46,   45.877,  0.67250,    0.000,    0.000,    1.519,    21.09
   36.48,   52.328,  0.58087,    0.000,    0.000,    1.193,    19.80
   36.50,   64.080,  0.56277,    0.000,    0.000,    0.885,    19.40
   36.52,   74.575,  0.62131,    0.000,    0.000,    0.858,    19.36
   36.54,   83.908,  0.67788,    0.000,    0.000,    0.823,    16.08
   36.56,   90.785,  0.76820,    0.000,    0.000,    0.849,    12.74
   36.58,   92.476,  0.87828,    0.000,    0.000,    0.951,    14.23
   36.60,   92.780,  0.92317,    0.000,    0.000,    0.993,    15.82
   36.62,   90.651,  0.93875,    0.000,    0.000,    1.032,    18.58
   36.64,   86.801,  0.98024,    0.000,    0.000,    1.113,    19.92
   36.66,   83.686,  1.00010,    0.000,    0.000,    1.193,    20.24
   36.68,   85.379,  1.03526,    0.000,    0.000,    1.239,    19.36
   36.70,   88.160,  1.09700,    0.000,    0.000,    1.256,    17.62
   36.72,   90.361,  1.13392,    0.000,    0.000,    1.257,    15.43
   36.74,   90.490,  1.11892,    0.000,    0.000,    1.236,    17.04
   36.76,   89.790,  1.08503,    0.000,    0.000,    1.206,    18.23
   36.78,   90.476,  1.07587,    0.000,    0.000,    1.191,    17.31
   36.80,   91.486,  1.09801,    0.000,    0.000,    1.202,    17.16
   36.82,   92.078,  1.12827,    0.000,    0.000,    1.228,    17.16
   36.84,   93.784,  1.15360,    0.000,    0.000,    1.234,    17.09
   36.86,   92.993,  1.19242,    0.000,    0.000,    1.278,    18.96
   36.88,   91.279,  1.20143,    0.000,    0.000,    1.309,    19.81
   36.90,   88.515,  1.17021,    0.000,    0.000,    1.307,    20.66
   36.92,   85.148,  1.11938,    0.000,    0.000,    1.289,    20.68
   36.94,   81.288,  1.08259,    0.000,    0.000,    1.306,    21.12
   36.96,   78.748,  1.04875,    0.000,    0.000,    1.318,    21.46
   36.98,   77.154,  1.01374,    0.000,    0.000,    1.300,    21.40
   37.00,   74.358,  0.98223,    0.000,    0.000,    1.317,    21.77
   37.02,   68.780,  0.95432,    0.000,    0.000,    1.376,    21.84
   37.04,   62.349,  0.92288,    0.000,    0.000,    1.459,    22.44
   37.06,   55.133,  0.98131,    0.000,    0.000,    1.753,    22.82
   37.08,   47.971,  1.07277,    0.000,    0.000,    2.224,    23.14
   37.10,   44.697,  1.34472,    0.000,    0.000,    2.954,    23.03
   37.12,   46.690,  1.36844,    0.000,    0.000,    2.983,    22.85
   37.14,   47.578,  1.25621,    0.000,    0.000,    2.640,    22.44
   37.16,   50.720,  1.14106,    0.000,    0.000,    2.388,    21.05
   37.18,   55.750,  1.01154,    0.000,    0.000,    1.868,    19.36
   37.20,   66.996,  0.84162,    0.000,    0.000,    1.344,    18.99
   37.22,   72.939,  0.73299,    0.000,    0.000,    1.020,    18.92
   37.24,   73.343,  0.78080,    0.000,    0.000,    1.067,    18.86
   37.26,   74.528,  0.82973,    0.000,    0.000,    1.123,    19.36
   37.28,   76.407,  0.86362,    0.000,    0.000,    1.137,    18.63
   37.30,   77.174,  0.90032,    0.000,    0.000,    1.174,    18.92
   37.32,   78.448,  0.93988,    0.000,    0.000,    1.206,    18.92
   37.34,   78.989,  0.97961,    0.000,    0.000,    1.242,    18.92
   37.36,   79.677,  1.01227,    0.000,    0.000,    1.279,    18.92
   37.38,   80.854,  1.02515,    0.000,    0.000,    1.275,    18.96
   37.40,   80.937,  0.00000,    0.000,    0.000,    0.000,    18.92
   37.42,   81.583,  0.00000,    0.000,    0.000,    0.000,    18.96
   37.44,   83.069,  0.00000,    0.000,    0.000,    0.000,    18.99
   37.47,   84.717,  0.00000,    0.000,    0.000,    0.000,    19.36
