Projektnummer           ,6409098
Sondierung              ,CPT12
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   25.00,    0.056,  0.00000,    0.000,    0.000,    0.000,     0.00
   25.02,    1.037,  0.00000,    0.000,    0.000,    0.000,    18.42
   25.04,    4.245,  0.08112,    0.000,    0.000,    2.304,    15.81
   25.06,    6.882,  0.12515,    0.000,    0.000,    1.909,    14.63
   25.08,   15.602,  0.18621,    0.000,    0.000,    1.308,     5.53
   25.10,   27.126,  0.23946,    0.000,    0.000,    0.895,     5.60
   25.12,   35.913,  0.29421,    0.000,    0.000,    0.833,     5.28
   25.14,   41.653,  0.35021,    0.000,    0.000,    0.860,     8.36
   25.16,   45.962,  0.40324,    0.000,    0.000,    0.879,     9.56
   25.18,   48.500,  0.45942,    0.000,    0.000,    0.961,    11.06
   25.20,   51.396,  0.51696,    0.000,    0.000,    1.016,    11.00
   25.22,   53.581,  0.56301,    0.000,    0.000,    1.052,    11.54
   25.24,   54.981,  0.59469,    0.000,    0.000,    1.084,    12.76
   25.26,   55.977,  0.63766,    0.000,    0.000,    1.142,    13.63
   25.28,   57.147,  0.65281,    0.000,    0.000,    1.152,    13.64
   25.30,   59.300,  0.65622,    0.000,    0.000,    1.113,    13.20
   25.32,   60.581,  0.65915,    0.000,    0.000,    1.089,    13.60
   25.34,   60.898,  0.67629,    0.000,    0.000,    1.111,    14.96
   25.36,   61.368,  0.66452,    0.000,    0.000,    1.084,    15.76
   25.38,   61.432,  0.65838,    0.000,    0.000,    1.072,    16.99
   25.40,   61.087,  0.65756,    0.000,    0.000,    1.076,    18.92
   25.42,   60.567,  0.65959,    0.000,    0.000,    1.089,    19.36
   25.44,   60.946,  0.66087,    0.000,    0.000,    1.087,    19.80
   25.46,   60.769,  0.67956,    0.000,    0.000,    1.118,    19.80
   25.48,   60.627,  0.68368,    0.000,    0.000,    1.125,    20.24
   25.50,   59.914,  0.68546,    0.000,    0.000,    1.138,    20.24
   25.52,   59.010,  0.69669,    0.000,    0.000,    1.175,    20.68
   25.54,   57.920,  0.69649,    0.000,    0.000,    1.194,    20.68
   25.56,   56.462,  0.68307,    0.000,    0.000,    1.197,    20.79
   25.58,   54.998,  0.66643,    0.000,    0.000,    1.201,    21.12
   25.60,   52.884,  0.65278,    0.000,    0.000,    1.211,    21.14
   25.62,   50.851,  0.61893,    0.000,    0.000,    1.199,    21.56
   25.64,   48.480,  0.60330,    0.000,    0.000,    1.216,    21.56
   25.66,   46.546,  0.58572,    0.000,    0.000,    1.232,    21.74
   25.68,   45.218,  0.56043,    0.000,    0.000,    1.226,    22.00
   25.70,   44.903,  0.54139,    0.000,    0.000,    1.202,    22.00
   25.72,   44.841,  0.54990,    0.000,    0.000,    1.225,    22.00
   25.74,   44.342,  0.57860,    0.000,    0.000,    1.296,    22.00
   25.76,   44.488,  0.57752,    0.000,    0.000,    1.306,    22.30
   25.78,   45.046,  0.57403,    0.000,    0.000,    1.283,    22.00
   25.80,   45.362,  0.58500,    0.000,    0.000,    1.293,    22.31
   25.82,   45.533,  0.58838,    0.000,    0.000,    1.293,    22.00
   25.84,   46.472,  0.59391,    0.000,    0.000,    1.292,    22.40
   25.86,   47.248,  0.59332,    0.000,    0.000,    1.267,    22.00
   25.88,   47.647,  0.57941,    0.000,    0.000,    1.221,    21.76
   25.90,   48.054,  0.56356,    0.000,    0.000,    1.176,    21.83
   25.92,   47.810,  0.55456,    0.000,    0.000,    1.156,    22.35
   25.94,   48.567,  0.54633,    0.000,    0.000,    1.138,    22.00
   25.96,   50.092,  0.56307,    0.000,    0.000,    1.136,    21.63
   25.98,   51.500,  0.58485,    0.000,    0.000,    1.144,    21.38
   26.00,   53.261,  0.59472,    0.000,    0.000,    1.120,    21.12
   26.02,   54.557,  0.60053,    0.000,    0.000,    1.105,    20.90
   26.04,   55.877,  0.63192,    0.000,    0.000,    1.136,    20.68
   26.06,   57.270,  0.66110,    0.000,    0.000,    1.158,    20.24
   26.08,   58.617,  0.66904,    0.000,    0.000,    1.144,    20.24
   26.10,   59.681,  0.68253,    0.000,    0.000,    1.146,    19.96
   26.12,   60.920,  0.68593,    0.000,    0.000,    1.129,    19.80
   26.14,   61.905,  0.68713,    0.000,    0.000,    1.110,    19.80
   26.16,   62.184,  0.68219,    0.000,    0.000,    1.096,    19.98
   26.18,   61.822,  0.67435,    0.000,    0.000,    1.089,    20.24
   26.20,   62.941,  0.68036,    0.000,    0.000,    1.097,    20.08
   26.22,   65.744,  0.69523,    0.000,    0.000,    1.076,    18.92
   26.24,   67.679,  0.70717,    0.000,    0.000,    1.058,    18.92
   26.26,   68.081,  0.73835,    0.000,    0.000,    1.086,    19.36
   26.28,   68.338,  0.75555,    0.000,    0.000,    1.110,    19.50
   26.30,   69.470,  0.76918,    0.000,    0.000,    1.119,    19.36
   26.32,   71.145,  0.77882,    0.000,    0.000,    1.095,    19.36
   26.34,   71.455,  0.77985,    0.000,    0.000,    1.092,    19.32
   26.36,   70.846,  0.00000,    0.000,    0.000,    0.000,    19.78
   26.38,   71.156,  0.00000,    0.000,    0.000,    0.000,    19.80
   26.40,   71.222,  0.00000,    0.000,    0.000,    0.000,    19.80
   26.42,   70.754,  0.00000,    0.000,    0.000,    0.000,    20.25
   26.43,   70.343,  0.00000,    0.000,    0.000,    0.000,    20.68
