Projektnummer           ,6409098
Sondierung              ,CPT15
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   30.50,    0.012,  0.00000,    0.000,    0.000,    0.000,     0.00
   30.52,    0.223,  0.00000,    0.000,    0.000,    0.000,    17.72
   30.54,    0.844,  0.04897,    0.000,    0.000,    7.886,    18.25
   30.56,    3.050,  0.10477,    0.000,    0.000,    5.496,    17.24
   30.58,    7.566,  0.17552,    0.000,    0.000,    2.272,    13.00
   30.60,   13.280,  0.23840,    0.000,    0.000,    1.918,     8.26
   30.62,   25.180,  0.32494,    0.000,    0.000,    1.334,     3.80
   30.64,   34.988,  0.42358,    0.000,    0.000,    1.225,     5.67
   30.66,   44.678,  0.49216,    0.000,    0.000,    1.121,     6.11
   30.68,   51.091,  0.55727,    0.000,    0.000,    1.099,     7.04
   30.70,   57.012,  0.62288,    0.000,    0.000,    1.103,     6.81
   30.72,   62.482,  0.69635,    0.000,    0.000,    1.129,     7.92
   30.74,   65.773,  0.76543,    0.000,    0.000,    1.166,    10.19
   30.76,   67.494,  0.82747,    0.000,    0.000,    1.233,    11.00
   30.78,   69.574,  0.83821,    0.000,    0.000,    1.214,    11.00
   30.80,   72.181,  0.88195,    0.000,    0.000,    1.225,    10.61
   30.82,   74.369,  0.95798,    0.000,    0.000,    1.296,    10.94
   30.84,   78.475,  0.99246,    0.000,    0.000,    1.275,     9.37
   30.86,   80.774,  0.99909,    0.000,    0.000,    1.238,    11.80
   30.88,   81.854,  1.02181,    0.000,    0.000,    1.254,    12.32
   30.90,   82.465,  1.05585,    0.000,    0.000,    1.281,    13.42
   30.92,   86.394,  1.06368,    0.000,    0.000,    1.244,    10.85
   30.94,   88.073,  1.12841,    0.000,    0.000,    1.286,    12.76
   30.96,   88.839,  1.15942,    0.000,    0.000,    1.305,    14.75
   30.98,   91.127,  1.20555,    0.000,    0.000,    1.327,    13.80
   31.00,   90.255,  1.21084,    0.000,    0.000,    1.333,    16.93
   31.02,   89.156,  1.20285,    0.000,    0.000,    1.349,    17.82
   31.04,   89.992,  1.18923,    0.000,    0.000,    1.323,    16.79
   31.06,   91.208,  1.18765,    0.000,    0.000,    1.310,    16.16
   31.08,   92.472,  1.19603,    0.000,    0.000,    1.295,    15.02
   31.10,   92.341,  1.22168,    0.000,    0.000,    1.323,    17.68
   31.12,   93.355,  1.22066,    0.000,    0.000,    1.310,    17.36
   31.14,   94.004,  1.28805,    0.000,    0.000,    1.375,    17.91
   31.16,   95.640,  1.34258,    0.000,    0.000,    1.406,    16.71
   31.18,   99.014,  1.39415,    0.000,    0.000,    1.425,    14.39
   31.20,  100.812,  1.40742,    0.000,    0.000,    1.403,    14.96
   31.22,  102.380,  1.44077,    0.000,    0.000,    1.413,    13.64
   31.24,  103.614,  1.44618,    0.000,    0.000,    1.397,    13.64
   31.26,  104.564,  1.40886,    0.000,    0.000,    1.348,    13.64
   31.28,  104.261,  1.40019,    0.000,    0.000,    1.343,    14.52
   31.30,  103.447,  1.44648,    0.000,    0.000,    1.398,    15.15
   31.32,  103.840,  1.55103,    0.000,    0.000,    1.496,    14.20
   31.34,  104.145,  0.00000,    0.000,    0.000,    0.000,    13.58
   31.36,  104.256,  0.00000,    0.000,    0.000,    0.000,    13.12
   31.38,  103.538,  0.00000,    0.000,    0.000,    0.000,    12.49
   31.41,  101.481,  0.00000,    0.000,    0.000,    0.000,     1.32
