Projektnummer           ,6409098
Sondierung              ,CPT19
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   35.00,    0.087,  0.00000,    0.000,    0.000,    0.000,     0.00
   35.02,    0.342,  0.00000,    0.000,    0.000,    0.000,    18.48
   35.04,    2.470,  0.09209,    0.000,    0.000,    6.365,    17.39
   35.06,    7.458,  0.16778,    0.000,    0.000,    2.206,    13.00
   35.08,   15.973,  0.26011,    0.000,    0.000,    1.718,     4.68
   35.10,   33.675,  0.35602,    0.000,    0.000,    1.072,     2.20
   35.12,   48.921,  0.46889,    0.000,    0.000,    0.965,     3.31
   35.14,   55.996,  0.57228,    0.000,    0.000,    1.026,     6.16
   35.16,   63.967,  0.62533,    0.000,    0.000,    0.981,     7.15
   35.18,   70.834,  0.70889,    0.000,    0.000,    1.014,     5.28
   35.20,   77.637,  0.79336,    0.000,    0.000,    1.030,     7.73
   35.22,   82.678,  0.83714,    0.000,    0.000,    1.018,     7.48
   35.24,   85.065,  0.89215,    0.000,    0.000,    1.049,     9.87
   35.26,   84.471,  0.92011,    0.000,    0.000,    1.084,    13.35
   35.28,   84.295,  0.93330,    0.000,    0.000,    1.109,    13.75
   35.30,   85.106,  0.93527,    0.000,    0.000,    1.103,    13.80
   35.32,   87.335,  0.98024,    0.000,    0.000,    1.127,    12.03
   35.34,   90.145,  1.01250,    0.000,    0.000,    1.128,    11.16
   35.36,   93.035,  1.06302,    0.000,    0.000,    1.148,    10.58
   35.38,   95.110,  1.12233,    0.000,    0.000,    1.182,    12.09
   35.40,   96.330,  1.17479,    0.000,    0.000,    1.222,    13.44
   35.42,   96.428,  1.21422,    0.000,    0.000,    1.259,    15.51
   35.44,   95.395,  1.24793,    0.000,    0.000,    1.302,    17.29
   35.46,   94.231,  1.24908,    0.000,    0.000,    1.315,    18.73
   35.48,   92.959,  1.22349,    0.000,    0.000,    1.311,    19.36
   35.50,   91.929,  1.19046,    0.000,    0.000,    1.288,    19.36
   35.52,   91.407,  1.20505,    0.000,    0.000,    1.319,    19.36
   35.54,   92.372,  1.22985,    0.000,    0.000,    1.335,    19.32
   35.56,   94.625,  1.25335,    0.000,    0.000,    1.337,    18.37
   35.58,   96.770,  1.28717,    0.000,    0.000,    1.332,    18.48
   35.60,   98.301,  1.37124,    0.000,    0.000,    1.405,    17.75
   35.62,  100.716,  1.42826,    0.000,    0.000,    1.419,    16.19
   35.64,  104.050,  0.00000,    0.000,    0.000,    0.000,    13.78
   35.66,  104.077,  0.00000,    0.000,    0.000,    0.000,    15.40
   35.68,  100.669,  0.00000,    0.000,    0.000,    0.000,    14.80
   35.70,   98.323,  0.00000,    0.000,    0.000,    0.000,    10.49
   35.71,   97.762,  0.00000,    0.000,    0.000,    0.000,     6.61
