Projektnummer           ,6409098
Sondierung              ,CPT07
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   18.50,    0.010,  0.00000,    0.217,    0.000,    0.000,     0.00
   18.52,    0.084,  0.00000,    0.210,    0.000,    0.000,    14.87
   18.54,    0.301,  0.00000,    0.215,    0.003,    0.000,    16.28
   18.56,    0.873,  0.04026,    0.210,    0.001,    6.122,    16.41
   18.58,    2.213,  0.08125,    0.209,   -0.006,    4.022,    14.96
   18.60,    3.713,  0.11878,    0.373,   -0.006,    3.289,    13.56
   18.62,    5.228,  0.16591,    0.517,   -0.007,    4.021,    12.66
   18.64,   12.397,  0.21195,    0.436,   -0.007,    1.738,     4.55
   18.66,   21.204,  0.25716,    0.571,   -0.006,    1.255,     3.52
   18.68,   29.339,  0.30799,    0.528,   -0.007,    1.071,     4.10
   18.70,   35.877,  0.35451,    0.490,   -0.006,    0.990,     5.50
   18.72,   41.222,  0.41514,    0.438,   -0.009,    1.013,     4.99
   18.74,   45.816,  0.47437,    0.549,   -0.011,    1.041,     4.76
   18.76,   49.453,  0.52399,    0.495,   -0.008,    1.061,     6.63
   18.78,   52.105,  0.57069,    0.439,   -0.019,    1.100,     7.32
   18.80,   53.582,  0.60318,    0.471,   -0.017,    1.130,     9.33
   18.82,   54.640,  0.62717,    0.459,   -0.020,    1.150,    10.12
   18.84,   55.603,  0.64367,    0.460,   -0.018,    1.163,    10.21
   18.86,   56.233,  0.66744,    0.463,   -0.010,    1.189,    11.60
   18.88,   57.195,  0.67918,    0.459,   -0.005,    1.190,    11.38
   18.90,   58.787,  0.70287,    0.462,   -0.013,    1.198,     9.68
   18.92,   60.474,  0.67910,    0.469,   -0.040,    1.129,     9.24
   18.94,   61.435,  0.67838,    0.466,   -0.042,    1.105,     9.02
   18.96,   61.844,  0.67257,    0.460,   -0.036,    1.088,     8.27
   18.98,   62.065,  0.68141,    0.460,   -0.030,    1.098,     6.93
   19.00,   61.583,  0.69749,    0.457,   -0.017,    1.131,     6.60
   19.02,   61.106,  0.72863,    0.427,   -0.014,    1.191,     7.38
   19.04,   60.433,  0.72141,    0.459,   -0.015,    1.193,     7.92
   19.06,   59.381,  0.71143,    0.461,   -0.022,    1.194,     8.94
   19.08,   58.470,  0.00000,    0.454,   -0.022,    0.000,     9.44
   19.10,   58.097,  0.00000,    0.478,   -0.023,    0.000,     7.96
   19.12,   58.288,  0.00000,    0.472,   -0.022,    0.000,     6.16
   19.14,   58.926,  0.00000,    0.422,   -0.073,    0.000,     4.40
   19.16,   60.051,  0.00000,    0.494,   -0.064,    0.000,     2.64
   19.17,   60.437,  0.00000,    0.255,    0.000,    0.000,     1.76
