Projektnummer           ,6409098
Sondierung              ,CPT17
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   32.50,    0.137,  0.00000,    0.000,    0.000,    0.000,     0.00
   32.52,    0.613,  0.00000,    0.000,    0.000,    0.000,    17.80
   32.54,    2.501,  0.04448,    0.000,    0.000,    2.487,    17.39
   32.56,    9.058,  0.09072,    0.000,    0.000,    1.176,     9.89
   32.58,   20.136,  0.16122,    0.000,    0.000,    0.814,     4.72
   32.60,   22.896,  0.22360,    0.000,    0.000,    0.990,    12.28
   32.62,   33.731,  0.30351,    0.000,    0.000,    0.903,     5.07
   32.64,   42.253,  0.36856,    0.000,    0.000,    0.886,     7.04
   32.66,   49.947,  0.42516,    0.000,    0.000,    0.864,     7.04
   32.68,   53.845,  0.46895,    0.000,    0.000,    0.878,     8.80
   32.70,   58.632,  0.49881,    0.000,    0.000,    0.859,     8.36
   32.72,   61.514,  0.53276,    0.000,    0.000,    0.871,    10.26
   32.74,   63.233,  0.55835,    0.000,    0.000,    0.886,    11.84
   32.76,   65.040,  0.57728,    0.000,    0.000,    0.894,    12.19
   32.78,   67.270,  0.55628,    0.000,    0.000,    0.830,    11.88
   32.80,   68.316,  0.58726,    0.000,    0.000,    0.861,    13.40
   32.82,   69.918,  0.60461,    0.000,    0.000,    0.870,    13.64
   32.84,   71.691,  0.63665,    0.000,    0.000,    0.893,    13.64
   32.86,   73.263,  0.65426,    0.000,    0.000,    0.895,    14.52
   32.88,   72.712,  0.69695,    0.000,    0.000,    0.958,    16.77
   32.90,   71.419,  0.70543,    0.000,    0.000,    0.986,    18.64
   32.92,   70.738,  0.70581,    0.000,    0.000,    0.996,    19.80
   32.94,   69.740,  0.69996,    0.000,    0.000,    1.001,    19.90
   32.96,   69.109,  0.69717,    0.000,    0.000,    1.007,    19.90
   32.98,   68.709,  0.69147,    0.000,    0.000,    1.006,    20.33
   33.00,   68.427,  0.69190,    0.000,    0.000,    1.010,    20.31
   33.02,   68.169,  0.68498,    0.000,    0.000,    1.004,    20.29
   33.04,   68.310,  0.66785,    0.000,    0.000,    0.980,    20.66
   33.06,   68.798,  0.65369,    0.000,    0.000,    0.950,    20.68
   33.08,   68.315,  0.64545,    0.000,    0.000,    0.945,    21.09
   33.10,   69.070,  0.64419,    0.000,    0.000,    0.936,    20.68
   33.12,   70.185,  0.64846,    0.000,    0.000,    0.928,    20.33
   33.14,   69.525,  0.65645,    0.000,    0.000,    0.940,    21.12
   33.16,   68.697,  0.67834,    0.000,    0.000,    0.984,    21.12
   33.18,   68.558,  0.66788,    0.000,    0.000,    0.973,    21.12
   33.20,   68.639,  0.68107,    0.000,    0.000,    0.993,    21.12
   33.22,   68.630,  0.68965,    0.000,    0.000,    1.005,    21.44
   33.24,   67.889,  0.69361,    0.000,    0.000,    1.014,    21.19
   33.26,   67.403,  0.68688,    0.000,    0.000,    1.015,    21.56
   33.28,   66.853,  0.68547,    0.000,    0.000,    1.021,    21.51
   33.30,   66.526,  0.67047,    0.000,    0.000,    1.010,    21.23
   33.32,   66.839,  0.66581,    0.000,    0.000,    0.997,    21.56
   33.34,   66.785,  0.67039,    0.000,    0.000,    1.002,    21.56
   33.36,   66.748,  0.67762,    0.000,    0.000,    1.017,    21.56
   33.38,   67.526,  0.66775,    0.000,    0.000,    0.994,    21.56
   33.40,   67.913,  0.68681,    0.000,    0.000,    1.015,    21.56
   33.42,   67.021,  0.70846,    0.000,    0.000,    1.045,    21.56
   33.44,   67.822,  0.70318,    0.000,    0.000,    1.041,    21.56
   33.46,   66.845,  0.68795,    0.000,    0.000,    1.016,    21.56
   33.48,   64.649,  0.72078,    0.000,    0.000,    1.106,    22.00
   33.50,   64.439,  0.74125,    0.000,    0.000,    1.155,    21.56
   33.52,   66.688,  0.76209,    0.000,    0.000,    1.148,    21.05
   33.54,   70.467,  0.78913,    0.000,    0.000,    1.126,    20.13
   33.56,   76.582,  0.81251,    0.000,    0.000,    1.094,    19.80
   33.58,   81.016,  0.81879,    0.000,    0.000,    1.034,    19.72
   33.60,   85.186,  0.80146,    0.000,    0.000,    0.947,    19.70
   33.62,   91.782,  0.82680,    0.000,    0.000,    0.916,    18.95
   33.64,   97.130,  0.85864,    0.000,    0.000,    0.890,    15.78
   33.66,  100.764,  0.92158,    0.000,    0.000,    0.917,    13.47
   33.68,  102.422,  0.97715,    0.000,    0.000,    0.959,    14.26
   33.70,  103.716,  1.01907,    0.000,    0.000,    0.982,    15.16
   33.72,  102.573,  1.07653,    0.000,    0.000,    1.044,    18.01
   33.74,  101.721,  1.11143,    0.000,    0.000,    1.094,    18.37
   33.76,  101.829,  1.14636,    0.000,    0.000,    1.126,    18.04
   33.78,  104.609,  0.00000,    0.000,    0.000,    0.000,    15.25
   33.80,  106.786,  0.00000,    0.000,    0.000,    0.000,    13.55
   33.82,  108.679,  0.00000,    0.000,    0.000,    0.000,    13.20
   33.84,  111.028,  0.00000,    0.000,    0.000,    0.000,    10.97
   33.85,  112.626,  0.00000,    0.000,    0.000,    0.000,     6.16
