Projektnummer           ,6409098
Sondierung              ,CPT03
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
    6.00,    0.010,  0.00000,    0.227,    0.000,    0.000,     0.00
    6.02,    0.060,  0.00000,    0.230,    0.002,    0.000,    16.72
    6.04,    0.191,  0.00000,    0.227,    0.002,    0.000,    17.92
    6.06,    0.701,  0.01485,    0.228,    0.000,    3.077,    18.04
    6.08,    1.556,  0.02706,    0.271,   -0.002,    1.969,    17.60
    6.10,    2.034,  0.04441,    0.552,   -0.004,    2.324,    17.45
    6.12,    3.465,  0.06338,    0.546,   -0.005,    1.969,    15.48
    6.14,    5.957,  0.08102,    0.532,   -0.004,    1.563,    11.36
    6.16,   10.683,  0.09858,    0.502,   -0.003,    0.975,     5.25
    6.18,   13.681,  0.11372,    0.499,   -0.003,    0.861,     7.60
    6.20,   16.383,  0.13120,    0.485,   -0.003,    0.827,     7.48
    6.22,   18.382,  0.14223,    0.515,   -0.002,    0.783,     9.58
    6.24,   19.419,  0.14932,    0.511,   -0.002,    0.777,    11.85
    6.26,   20.710,  0.15850,    0.508,   -0.002,    0.770,    11.75
    6.28,   22.139,  0.16797,    0.506,   -0.002,    0.768,    11.88
    6.30,   22.939,  0.17723,    0.502,   -0.001,    0.775,    13.46
    6.32,   23.821,  0.18470,    0.507,   -0.001,    0.783,    14.08
    6.34,   24.707,  0.19206,    0.505,   -0.001,    0.783,    14.52
    6.36,   25.446,  0.19648,    0.502,   -0.001,    0.773,    15.07
    6.38,   25.840,  0.20205,    0.497,   -0.001,    0.784,    16.28
    6.40,   26.016,  0.20661,    0.497,    0.000,    0.796,    17.57
    6.42,   26.009,  0.21000,    0.499,    0.000,    0.809,    18.52
    6.44,   26.214,  0.21257,    0.498,    0.000,    0.811,    19.01
    6.46,   26.502,  0.21392,    0.502,    0.001,    0.808,    19.36
    6.48,   26.823,  0.21524,    0.497,    0.001,    0.803,    19.36
    6.50,   27.026,  0.21714,    0.497,    0.001,    0.804,    19.80
    6.52,   27.131,  0.21935,    0.494,    0.001,    0.810,    19.97
    6.54,   27.312,  0.22033,    0.494,    0.002,    0.808,    19.97
    6.56,   27.540,  0.22225,    0.496,    0.002,    0.809,    19.97
    6.58,   27.811,  0.22381,    0.494,    0.002,    0.807,    20.24
    6.60,   28.050,  0.22578,    0.492,    0.002,    0.806,    20.24
    6.62,   28.234,  0.22763,    0.491,    0.002,    0.808,    20.24
    6.64,   28.454,  0.22961,    0.490,    0.002,    0.809,    20.24
    6.66,   28.654,  0.23247,    0.496,    0.003,    0.813,    20.57
    6.68,   28.804,  0.23376,    0.492,    0.003,    0.813,    20.68
    6.70,   29.002,  0.23426,    0.489,    0.003,    0.810,    20.30
    6.72,   29.148,  0.23398,    0.496,    0.003,    0.805,    20.68
    6.74,   29.285,  0.23509,    0.491,    0.004,    0.804,    20.68
    6.76,   29.401,  0.23663,    0.490,    0.004,    0.806,    20.68
    6.78,   29.626,  0.23785,    0.492,    0.004,    0.806,    21.06
    6.80,   29.831,  0.23905,    0.493,    0.004,    0.804,    21.12
    6.82,   30.067,  0.24080,    0.491,    0.004,    0.804,    21.12
    6.84,   30.206,  0.24372,    0.492,    0.004,    0.808,    21.35
    6.86,   30.298,  0.24557,    0.492,    0.004,    0.812,    21.12
    6.88,   30.437,  0.24731,    0.488,    0.004,    0.814,    21.25
    6.90,   30.573,  0.24931,    0.492,    0.005,    0.817,    21.12
    6.92,   30.816,  0.25025,    0.493,    0.005,    0.815,    21.53
    6.94,   31.090,  0.24922,    0.490,    0.005,    0.805,    20.69
    6.96,   31.484,  0.25154,    0.494,    0.005,    0.803,    20.73
    6.98,   31.773,  0.25289,    0.489,    0.005,    0.798,    21.12
    7.00,   32.065,  0.25422,    0.490,    0.005,    0.795,    21.12
    7.02,   32.454,  0.25442,    0.488,    0.006,    0.787,    20.94
    7.04,   32.926,  0.25794,    0.489,    0.006,    0.787,    20.90
    7.06,   33.550,  0.26243,    0.489,    0.006,    0.785,    20.68
    7.08,   34.206,  0.26606,    0.487,    0.006,    0.781,    20.52
    7.10,   34.787,  0.26844,    0.487,    0.006,    0.774,    20.24
    7.12,   35.396,  0.27023,    0.482,    0.007,    0.765,    20.09
    7.14,   35.751,  0.27255,    0.488,    0.007,    0.763,    20.38
    7.16,   36.059,  0.27391,    0.487,    0.007,    0.761,    20.24
    7.18,   36.660,  0.27531,    0.485,    0.007,    0.758,    20.13
    7.20,   37.392,  0.27352,    0.484,    0.007,    0.738,    19.80
    7.22,   38.349,  0.27380,    0.484,    0.007,    0.721,    19.80
    7.24,   39.157,  0.27588,    0.483,    0.008,    0.708,    19.08
    7.26,   39.922,  0.28015,    0.488,    0.008,    0.705,    19.12
    7.28,   40.946,  0.28505,    0.485,    0.008,    0.700,    19.16
    7.30,   42.001,  0.29448,    0.482,    0.008,    0.707,    19.20
    7.32,   43.191,  0.30748,    0.485,    0.008,    0.720,    18.92
    7.34,   44.750,  0.32007,    0.481,    0.007,    0.717,    17.65
    7.36,   45.833,  0.33483,    0.485,    0.007,    0.733,    15.93
    7.38,   46.708,  0.34671,    0.484,    0.008,    0.746,    14.52
    7.40,   47.248,  0.36262,    0.483,    0.006,    0.770,    14.08
    7.42,   47.576,  0.37182,    0.486,    0.006,    0.783,    13.75
    7.44,   47.817,  0.37740,    0.494,    0.007,    0.790,    13.33
    7.46,   48.134,  0.38546,    0.492,    0.008,    0.802,    12.76
