Projektnummer           ,6409098
Sondierung              ,CPT09
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   21.50,    0.038,  0.00000,    0.240,    0.000,    0.000,     0.00
   21.52,    0.251,  0.00000,    0.232,    0.014,    0.000,    16.08
   21.54,    0.612,  0.00000,    0.219,    0.012,    0.000,    16.72
   21.56,    2.073,  0.05297,    0.224,    0.005,    2.933,    14.71
   21.58,    3.604,  0.09653,    0.379,    0.004,    2.957,    12.86
   21.60,    5.652,  0.15571,    0.521,   -0.002,    3.090,     9.92
   21.62,   13.834,  0.21641,    0.579,   -0.004,    1.646,     2.20
   21.64,   25.025,  0.26918,    0.409,   -0.004,    1.100,     3.12
   21.66,   36.824,  0.34053,    0.586,   -0.003,    0.937,     3.44
   21.68,   45.348,  0.39116,    0.589,   -0.002,    0.869,     3.12
   21.70,   50.920,  0.47093,    0.544,   -0.002,    0.936,     3.87
   21.72,   55.125,  0.00000,    0.500,   -0.003,    0.000,     6.16
   21.74,   59.024,  0.00000,    0.473,   -0.006,    0.000,     6.73
   21.76,   61.766,  0.00000,    0.488,   -0.004,    0.000,     6.55
   21.78,   64.222,  0.00000,    0.491,   -0.003,    0.000,     7.92
   21.80,   65.986,  0.00000,    0.424,   -0.003,    0.000,     6.87
   21.81,   66.693,  0.00000,    0.514,    0.000,    0.000,     3.96
