Projektnummer           ,6409098
Sondierung              ,CPT01
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
    0.00,    0.010,  0.00000,    0.211,    0.000,    0.000,     0.00
    0.02,    0.059,  0.00000,    0.211,    0.004,    0.000,    20.00
    0.04,    0.157,  0.00000,    0.214,    0.004,    0.000,    21.04
    0.06,    0.287,  0.00189,    0.209,    0.003,    0.856,    20.80
    0.08,    0.408,  0.00150,    0.216,    0.003,    0.409,    21.12
    0.10,    0.438,  0.00219,    0.211,    0.004,    0.501,    21.12
    0.12,    0.406,  0.00263,    0.211,    0.005,    0.626,    21.12
    0.14,    0.390,  0.00242,    0.214,    0.006,    0.608,    21.44
    0.16,    0.369,  0.00212,    0.210,    0.007,    0.562,    21.12
    0.18,    0.392,  0.00195,    0.211,    0.008,    0.500,    21.15
    0.20,    0.441,  0.00174,    0.216,    0.008,    0.401,    21.15
    0.22,    0.474,  0.00216,    0.211,    0.008,    0.459,    21.20
    0.24,    0.484,  0.00254,    0.207,    0.007,    0.528,    21.56
    0.26,    0.493,  0.00226,    0.211,    0.008,    0.462,    22.00
    0.28,    0.467,  0.00159,    0.204,    0.009,    0.334,    22.31
    0.30,    0.425,  0.00200,    0.212,    0.010,    0.439,    21.73
    0.32,    0.400,  0.00203,    0.202,    0.010,    0.504,    22.88
    0.34,    0.521,  0.00234,    0.214,    0.010,    0.455,    24.13
    0.36,    0.502,  0.00210,    0.221,    0.011,    0.390,    24.47
    0.38,    0.571,  0.00263,    0.219,    0.010,    0.461,    22.54
    0.40,    0.538,  0.00394,    0.215,    0.010,    0.732,    22.73
    0.42,    0.586,  0.00370,    0.212,    0.012,    0.710,    25.48
    0.44,    0.786,  0.00468,    0.217,    0.011,    0.635,    24.20
    0.46,    0.722,  0.00535,    0.213,    0.010,    0.784,    23.81
    0.48,    0.901,  0.00528,    0.220,    0.009,    0.614,    27.18
    0.50,    1.104,  0.00588,    0.212,    0.009,    0.570,    21.68
    0.52,    1.143,  0.00664,    0.210,    0.008,    0.572,    22.00
    0.54,    1.222,  0.00663,    0.210,    0.009,    0.558,    22.00
    0.56,    1.307,  0.00735,    0.210,    0.011,    0.580,    22.29
    0.58,    1.562,  0.00802,    0.210,    0.009,    0.522,    22.38
    0.60,    1.575,  0.00908,    0.211,    0.009,    0.595,    22.42
    0.62,    1.547,  0.00990,    0.211,    0.009,    0.637,    22.11
    0.64,    1.557,  0.01044,    0.459,    0.009,    0.678,    22.44
    0.66,    1.822,  0.01224,    0.526,    0.010,    0.690,    22.15
    0.68,    1.855,  0.01261,    0.519,    0.008,    0.684,    22.44
    0.70,    2.100,  0.01304,    0.512,    0.009,    0.628,    22.44
    0.72,    2.563,  0.01463,    0.508,    0.007,    0.584,    22.31
    0.74,    2.636,  0.01569,    0.507,    0.007,    0.615,    22.44
    0.76,    2.990,  0.01682,    0.505,    0.005,    0.585,    22.44
    0.78,    3.290,  0.01739,    0.508,    0.007,    0.534,    22.44
    0.80,    3.540,  0.01876,    0.505,    0.008,    0.532,    22.44
    0.82,    3.763,  0.02032,    0.499,    0.007,    0.555,    22.44
    0.84,    4.026,  0.02091,    0.497,    0.008,    0.522,    22.44
    0.86,    4.112,  0.02160,    0.496,    0.006,    0.531,    22.44
    0.88,    4.314,  0.02175,    0.499,    0.007,    0.508,    22.44
    0.90,    4.485,  0.02278,    0.500,    0.007,    0.514,    22.56
    0.92,    4.732,  0.02380,    0.493,    0.008,    0.508,    22.44
    0.94,    4.905,  0.02421,    0.493,    0.009,    0.499,    22.76
    0.96,    5.081,  0.02480,    0.491,    0.010,    0.492,    22.44
    0.98,    5.125,  0.02549,    0.497,    0.011,    0.498,    22.80
    1.00,    5.031,  0.02678,    0.491,    0.011,    0.529,    22.70
    1.02,    5.043,  0.02789,    0.489,    0.012,    0.551,    22.60
    1.04,    4.886,  0.02893,    0.488,    0.015,    0.588,    22.49
    1.06,    5.054,  0.03015,    0.492,    0.017,    0.600,    22.49
    1.08,    5.199,  0.03138,    0.487,    0.017,    0.609,    22.88
    1.10,    5.463,  0.03375,    0.485,    0.016,    0.627,    22.62
    1.12,    5.620,  0.03576,    0.489,    0.014,    0.642,    22.81
    1.14,    5.776,  0.03742,    0.486,    0.013,    0.651,    22.84
    1.16,    5.664,  0.03828,    0.484,    0.011,    0.676,    22.88
    1.18,    5.711,  0.03828,    0.486,    0.014,    0.671,    22.88
    1.20,    5.584,  0.03752,    0.486,    0.014,    0.667,    22.52
    1.22,    5.572,  0.03634,    0.481,    0.015,    0.640,    22.88
    1.24,    5.646,  0.03584,    0.485,    0.015,    0.623,    22.88
    1.26,    5.778,  0.03623,    0.485,    0.015,    0.632,    22.88
    1.28,    5.721,  0.03660,    0.480,    0.014,    0.637,    22.88
    1.30,    5.931,  0.03739,    0.486,    0.014,    0.642,    23.28
    1.32,    6.106,  0.03807,    0.481,    0.014,    0.620,    22.88
    1.34,    6.327,  0.04072,    0.479,    0.014,    0.650,    23.05
    1.36,    6.683,  0.04259,    0.483,    0.015,    0.654,    22.88
    1.38,    6.953,  0.04459,    0.480,    0.014,    0.647,    22.88
    1.40,    7.294,  0.04668,    0.480,    0.013,    0.646,    22.60
    1.42,    7.741,  0.04869,    0.483,    0.013,    0.643,    22.88
    1.44,    8.054,  0.04942,    0.479,    0.014,    0.622,    22.88
    1.46,    8.312,  0.05101,    0.479,    0.014,    0.622,    22.88
    1.48,    8.380,  0.05488,    0.480,    0.015,    0.655,    22.88
    1.50,    8.319,  0.06006,    0.475,    0.015,    0.718,    23.05
    1.52,    8.077,  0.06476,    0.482,    0.016,    0.791,    22.93
    1.54,    7.823,  0.06468,    0.478,    0.017,    0.810,    22.95
    1.56,    7.384,  0.06679,    0.482,    0.018,    0.884,    23.32
    1.58,    7.097,  0.06707,    0.480,    0.020,    0.933,    23.01
    1.60,    6.822,  0.06480,    0.480,    0.021,    0.923,    23.32
    1.62,    6.578,  0.06667,    0.475,    0.021,    0.985,    23.32
    1.64,    6.637,  0.06409,    0.475,    0.020,    0.973,    23.08
    1.66,    6.113,  0.06447,    0.475,    0.019,    0.998,    23.32
    1.68,    5.762,  0.06758,    0.475,    0.020,    1.149,    23.32
    1.70,    5.283,  0.07000,    0.475,    0.024,    1.277,    23.32
    1.72,    4.541,  0.07884,    0.474,    0.025,    1.607,    23.32
    1.74,    4.028,  0.08493,    0.473,    0.029,    2.008,    23.34
    1.76,    3.831,  0.08374,    0.476,    0.028,    2.120,    23.44
    1.78,    3.563,  0.07286,    0.473,    0.026,    2.010,    23.32
    1.80,    3.648,  0.05914,    0.477,    0.026,    1.654,    23.70
    1.82,    4.187,  0.04903,    0.472,    0.021,    1.205,    23.32
    1.84,    5.389,  0.04741,    0.476,    0.007,    0.909,    23.14
    1.86,    6.555,  0.04870,    0.472,   -0.097,    0.756,    22.73
    1.88,    8.085,  0.04969,    0.470,   -0.182,    0.617,    22.38
    1.90,    9.390,  0.05145,    0.470,   -0.110,    0.592,    22.00
    1.92,   10.288,  0.05188,    0.469,   -0.036,    0.526,    21.56
    1.94,   10.992,  0.05694,    0.470,    0.011,    0.518,    21.56
    1.96,   11.558,  0.06101,    0.473,    0.019,    0.529,    21.35
    1.98,   12.012,  0.06586,    0.467,    0.020,    0.549,    21.30
    2.00,   12.123,  0.07080,    0.468,    0.021,    0.584,    21.56
    2.02,   12.100,  0.07368,    0.467,    0.022,    0.609,    21.56
    2.04,   12.127,  0.07779,    0.470,    0.023,    0.641,    21.98
    2.06,   12.300,  0.08048,    0.473,    0.023,    0.656,    21.91
    2.08,   12.417,  0.08531,    0.472,    0.024,    0.689,    22.00
    2.10,   12.401,  0.08787,    0.472,    0.024,    0.708,    22.00
    2.12,   12.282,  0.08796,    0.471,    0.024,    0.716,    22.00
    2.14,   12.163,  0.08820,    0.469,    0.025,    0.723,    22.44
    2.16,   12.384,  0.08769,    0.467,    0.025,    0.709,    22.44
    2.18,   12.381,  0.08682,    0.466,    0.026,    0.701,    22.44
    2.20,   12.549,  0.08876,    0.465,    0.026,    0.708,    22.44
    2.22,   13.054,  0.08956,    0.467,    0.025,    0.689,    22.09
    2.24,   13.617,  0.09237,    0.469,    0.026,    0.679,    22.00
    2.26,   14.095,  0.09164,    0.469,    0.025,    0.664,    22.00
    2.28,   14.674,  0.09387,    0.468,    0.025,    0.657,    21.72
    2.30,   15.151,  0.09444,    0.465,    0.026,    0.633,    21.57
    2.32,   15.794,  0.09621,    0.466,    0.026,    0.620,    21.40
    2.34,   16.524,  0.09674,    0.469,    0.025,    0.595,    21.12
    2.36,   16.822,  0.09677,    0.466,    0.026,    0.580,    21.12
    2.38,   17.490,  0.09709,    0.465,    0.025,    0.562,    21.10
    2.40,   17.502,  0.09831,    0.468,    0.026,    0.559,    21.10
    2.42,   17.981,  0.09922,    0.462,    0.027,    0.551,    20.74
    2.44,   18.496,  0.09938,    0.467,    0.027,    0.537,    20.77
    2.46,   19.144,  0.09939,    0.462,    0.027,    0.523,    20.68
    2.48,   19.593,  0.10073,    0.464,    0.027,    0.515,    20.39
    2.50,   20.203,  0.10316,    0.463,    0.027,    0.513,    20.24
    2.52,   20.810,  0.10744,    0.466,    0.027,    0.517,    20.08
    2.54,   21.065,  0.11051,    0.468,    0.028,    0.525,    19.80
    2.56,   21.258,  0.11342,    0.465,    0.028,    0.535,    19.80
    2.58,   21.531,  0.00000,    0.466,    0.028,    0.000,    19.80
    2.60,   21.716,  0.00000,    0.463,    0.029,    0.000,    19.68
    2.62,   21.806,  0.00000,    0.460,    0.029,    0.000,    19.36
    2.64,   22.081,  0.00000,    0.464,    0.029,    0.000,    19.43
    2.66,   22.537,  0.00000,    0.463,    0.029,    0.000,    20.59
    2.68,   22.757,  0.00000,    0.466,    0.000,    0.000,    20.24
