Projektnummer           ,6409098
Sondierung              ,CPT16
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   31.50,    0.025,  0.00000,    0.000,    0.000,    0.000,     0.00
   31.52,    0.152,  0.00000,    0.000,    0.000,    0.000,    17.31
   31.54,    0.494,  0.00893,    0.000,    0.000,    3.197,    18.29
   31.56,    3.464,  0.06458,    0.000,    0.000,    3.701,    16.43
   31.58,    7.012,  0.15371,    0.000,    0.000,    2.465,    13.42
   31.60,   16.438,  0.25940,    0.000,    0.000,    1.648,     5.28
   31.62,   32.418,  0.34547,    0.000,    0.000,    1.102,     3.38
   31.64,   46.099,  0.43718,    0.000,    0.000,    0.972,     4.84
   31.66,   54.829,  0.52709,    0.000,    0.000,    0.971,     7.18
   31.68,   60.891,  0.59491,    0.000,    0.000,    0.980,     7.25
   31.70,   65.744,  0.62062,    0.000,    0.000,    0.954,     8.14
   31.72,   70.551,  0.66313,    0.000,    0.000,    0.947,     8.20
   31.74,   73.104,  0.71379,    0.000,    0.000,    0.979,    10.10
   31.76,   75.180,  0.75430,    0.000,    0.000,    1.005,    10.56
   31.78,   76.378,  0.79750,    0.000,    0.000,    1.045,    11.97
   31.80,   76.596,  0.82143,    0.000,    0.000,    1.071,    14.18
   31.82,   75.203,  0.82282,    0.000,    0.000,    1.083,    16.84
   31.84,   73.427,  0.81933,    0.000,    0.000,    1.107,    18.47
   31.86,   74.638,  0.82762,    0.000,    0.000,    1.115,    17.27
   31.88,   77.335,  0.81980,    0.000,    0.000,    1.067,    15.33
   31.90,   77.670,  0.82192,    0.000,    0.000,    1.059,    16.72
   31.92,   78.364,  0.86291,    0.000,    0.000,    1.105,    17.43
   31.94,   80.203,  0.84477,    0.000,    0.000,    1.059,    16.28
   31.96,   82.404,  0.83640,    0.000,    0.000,    1.017,    15.84
   31.98,   85.118,  0.89609,    0.000,    0.000,    1.059,    14.80
   32.00,   89.503,  0.94230,    0.000,    0.000,    1.063,    11.61
   32.02,   93.005,  0.99508,    0.000,    0.000,    1.073,    11.44
   32.04,   92.944,  1.05559,    0.000,    0.000,    1.142,    14.66
   32.06,   96.669,  1.06667,    0.000,    0.000,    1.110,    12.27
   32.08,   98.614,  0.00000,    0.000,    0.000,    0.000,    10.87
   32.10,  102.028,  0.00000,    0.000,    0.000,    0.000,    10.98
   32.12,  106.806,  0.00000,    0.000,    0.000,    0.000,     7.75
   32.14,    0.000,  0.00000,    0.000,    0.000,    0.000,     0.00
