Projektnummer           ,6409098
Sondierung              ,CPT10
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   22.50,    0.071,  0.00000,    0.222,    0.000,    0.000,     0.00
   22.52,    0.256,  0.00000,    0.223,    0.021,    0.000,    16.28
   22.54,    0.723,  0.00000,    0.219,    0.018,    0.000,    16.38
   22.56,    1.991,  0.03259,    0.219,    0.011,    1.864,    14.52
   22.58,    3.686,  0.06688,    0.381,    0.008,    1.999,    11.76
   22.60,    4.446,  0.11723,    0.528,    0.007,    2.676,    14.47
   22.62,    9.831,  0.17781,    0.569,    0.007,    1.928,     4.40
   22.64,   18.804,  0.23863,    0.537,    0.006,    1.287,     3.31
   22.66,   31.267,  0.30506,    0.625,    0.006,    0.989,     2.64
   22.68,   39.485,  0.35602,    0.418,    0.007,    0.905,     3.42
   22.70,   45.441,  0.00000,    0.484,    0.008,    0.000,     3.96
   22.72,   50.326,  0.00000,    0.573,    0.009,    0.000,     5.28
   22.74,   55.456,  0.00000,    0.518,    0.009,    0.000,     5.55
   22.76,   59.731,  0.00000,    0.388,    0.013,    0.000,     5.31
   22.78,   64.173,  0.00000,    0.518,    0.011,    0.000,     5.17
   22.80,   67.498,  0.00000,    0.379,    0.000,    0.000,     3.52
