Projektnummer           ,6409098
Sondierung              ,CPT22
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   39.00,    0.006,  0.00000,    0.000,    0.000,    0.000,     0.00
   39.02,    0.499,  0.00000,    0.000,    0.000,    0.000,    18.56
   39.04,    5.971,  0.10510,    0.000,    0.000,    2.683,    12.93
   39.06,    8.180,  0.21208,    0.000,    0.000,    2.897,    12.91
   39.08,   20.549,  0.33596,    0.000,    0.000,    1.743,     3.17
   39.10,   37.653,  0.45007,    0.000,    0.000,    1.221,     3.52
   39.12,   53.631,  0.59344,    0.000,    0.000,    1.121,     4.77
   39.14,   66.689,  0.73007,    0.000,    0.000,    1.108,     5.35
   39.16,   76.771,  0.85262,    0.000,    0.000,    1.116,     5.15
   39.18,   85.806,  0.95689,    0.000,    0.000,    1.125,     4.84
   39.20,   92.768,  1.08654,    0.000,    0.000,    1.176,     6.37
   39.22,   97.189,  1.18511,    0.000,    0.000,    1.226,     7.48
   39.24,   98.884,  1.25850,    0.000,    0.000,    1.273,     9.58
   39.26,   98.637,  1.30894,    0.000,    0.000,    1.326,    11.89
   39.28,   97.244,  1.35701,    0.000,    0.000,    1.392,    13.55
   39.30,   94.726,  1.34540,    0.000,    0.000,    1.403,    16.27
   39.32,   92.313,  1.32208,    0.000,    0.000,    1.426,    17.96
   39.34,   88.352,  1.25877,    0.000,    0.000,    1.408,    19.66
   39.36,   84.535,  1.20632,    0.000,    0.000,    1.410,    20.37
   39.38,   81.958,  1.13346,    0.000,    0.000,    1.371,    20.36
   39.40,   80.564,  1.04195,    0.000,    0.000,    1.285,    20.76
   39.42,   78.817,  0.99516,    0.000,    0.000,    1.245,    21.13
   39.44,   75.145,  0.96350,    0.000,    0.000,    1.254,    21.54
   39.46,   71.970,  0.89156,    0.000,    0.000,    1.232,    21.56
   39.48,   66.156,  0.84328,    0.000,    0.000,    1.269,    22.00
   39.50,   61.002,  0.79764,    0.000,    0.000,    1.305,    22.20
   39.52,   58.530,  0.74267,    0.000,    0.000,    1.247,    22.78
   39.54,   58.353,  0.65105,    0.000,    0.000,    1.116,    22.44
   39.56,   59.953,  0.62540,    0.000,    0.000,    1.062,    22.44
   39.58,   64.142,  0.62513,    0.000,    0.000,    0.986,    21.74
   39.60,   67.467,  0.70312,    0.000,    0.000,    1.046,    21.12
   39.62,   71.410,  0.85225,    0.000,    0.000,    1.227,    20.50
   39.64,   75.678,  1.06334,    0.000,    0.000,    1.436,    19.61
   39.66,   77.856,  1.24481,    0.000,    0.000,    1.606,    19.36
   39.68,   78.603,  1.42980,    0.000,    0.000,    1.824,    19.18
   39.70,   79.801,  1.58956,    0.000,    0.000,    1.999,    18.48
   39.72,   80.804,  1.70885,    0.000,    0.000,    2.117,    18.48
   39.74,   81.123,  1.77898,    0.000,    0.000,    2.194,    18.49
   39.76,   81.491,  1.84578,    0.000,    0.000,    2.271,    18.58
   39.78,   81.761,  1.89411,    0.000,    0.000,    2.319,    18.92
   39.80,   81.758,  1.92549,    0.000,    0.000,    2.355,    18.92
   39.82,   81.901,  1.94668,    0.000,    0.000,    2.380,    19.16
   39.84,   82.411,  1.97710,    0.000,    0.000,    2.404,    18.92
   39.86,   83.281,  2.03356,    0.000,    0.000,    2.445,    19.25
   39.88,   84.390,  2.08042,    0.000,    0.000,    2.474,    19.29
   39.90,   85.551,  2.11856,    0.000,    0.000,    2.484,    18.50
   39.92,   86.619,  2.15573,    0.000,    0.000,    2.492,    17.88
   39.94,   86.583,  2.17853,    0.000,    0.000,    2.519,    16.69
   39.96,   87.103,  2.20050,    0.000,    0.000,    2.529,    15.36
   39.98,   88.126,  2.25263,    0.000,    0.000,    2.559,    13.68
   40.00,   88.947,  2.29683,    0.000,    0.000,    2.589,    12.31
   40.02,   90.065,  0.00000,    0.000,    0.000,    0.000,    11.71
   40.04,   90.589,  0.00000,    0.000,    0.000,    0.000,    10.56
   40.06,   90.704,  0.00000,    0.000,    0.000,    0.000,     9.68
   40.08,   89.765,  0.00000,    0.000,    0.000,    0.000,     3.52
