Projektnummer           ,6409098
Sondierung              ,CPT21
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   37.50,    0.062,  0.00000,    0.000,    0.000,    0.000,     0.00
   37.52,    0.186,  0.00000,    0.000,    0.000,    0.000,    16.90
   37.54,    0.509,  0.02646,    0.000,    0.000,    7.222,    17.48
   37.56,    1.047,  0.06635,    0.000,    0.000,    8.638,    17.61
   37.58,    4.557,  0.10996,    0.000,    0.000,    3.439,    13.36
   37.60,    9.009,  0.18666,    0.000,    0.000,    2.336,    12.74
   37.62,   21.674,  0.27065,    0.000,    0.000,    1.320,     3.30
   37.64,   38.313,  0.35739,    0.000,    0.000,    0.942,     3.66
   37.66,   50.007,  0.45655,    0.000,    0.000,    0.922,     5.72
   37.68,   58.695,  0.54509,    0.000,    0.000,    0.943,     5.79
   37.70,   64.096,  0.62194,    0.000,    0.000,    0.973,     8.27
   37.72,   68.952,  0.68629,    0.000,    0.000,    0.998,     7.61
   37.74,   72.304,  0.74523,    0.000,    0.000,    1.034,     9.73
   37.76,   73.931,  0.81056,    0.000,    0.000,    1.100,    11.00
   37.78,   77.238,  0.86566,    0.000,    0.000,    1.133,     9.24
   37.80,   79.505,  0.91923,    0.000,    0.000,    1.160,    11.08
   37.82,   78.645,  0.95978,    0.000,    0.000,    1.214,    14.52
   37.84,   77.965,  0.97473,    0.000,    0.000,    1.249,    15.35
   37.86,   76.932,  0.98605,    0.000,    0.000,    1.277,    17.01
   37.88,   75.951,  1.00223,    0.000,    0.000,    1.317,    17.86
   37.90,   74.833,  1.01480,    0.000,    0.000,    1.354,    19.12
   37.92,   74.014,  1.02295,    0.000,    0.000,    1.380,    19.36
   37.94,   71.964,  1.03889,    0.000,    0.000,    1.428,    20.15
   37.96,   69.307,  1.03101,    0.000,    0.000,    1.466,    20.58
   37.98,   64.985,  0.99353,    0.000,    0.000,    1.483,    20.98
   38.00,   59.301,  1.02683,    0.000,    0.000,    1.684,    21.31
   38.02,   54.762,  1.10293,    0.000,    0.000,    1.992,    21.74
   38.04,   53.997,  1.14174,    0.000,    0.000,    2.137,    21.44
   38.06,   59.674,  1.12687,    0.000,    0.000,    1.994,    20.05
   38.08,   66.384,  1.14337,    0.000,    0.000,    1.809,    19.80
   38.10,   74.702,  1.10079,    0.000,    0.000,    1.547,    19.23
   38.12,   79.151,  1.03109,    0.000,    0.000,    1.326,    18.68
   38.14,   79.545,  0.97790,    0.000,    0.000,    1.231,    19.36
   38.16,   80.291,  0.95733,    0.000,    0.000,    1.193,    19.36
   38.18,   80.768,  0.93670,    0.000,    0.000,    1.160,    19.36
   38.20,   82.753,  0.92943,    0.000,    0.000,    1.127,    19.04
   38.22,   82.650,  0.93531,    0.000,    0.000,    1.129,    19.80
   38.24,   81.571,  0.92951,    0.000,    0.000,    1.133,    20.24
   38.26,   77.764,  0.93547,    0.000,    0.000,    1.176,    20.85
   38.28,   72.307,  0.95964,    0.000,    0.000,    1.301,    21.12
   38.30,   69.686,  0.95737,    0.000,    0.000,    1.365,    21.35
   38.32,   69.110,  0.95442,    0.000,    0.000,    1.384,    21.56
   38.34,   70.840,  1.00097,    0.000,    0.000,    1.416,    20.68
   38.36,   72.736,  1.04094,    0.000,    0.000,    1.434,    20.52
   38.38,   75.391,  1.06192,    0.000,    0.000,    1.410,    19.80
   38.40,   78.090,  1.12793,    0.000,    0.000,    1.474,    19.80
   38.42,   80.995,  1.24698,    0.000,    0.000,    1.563,    19.70
   38.44,   82.919,  1.37812,    0.000,    0.000,    1.681,    19.36
   38.46,   84.126,  1.45931,    0.000,    0.000,    1.745,    19.36
   38.48,   85.186,  1.54100,    0.000,    0.000,    1.809,    19.13
   38.50,   84.631,  1.58164,    0.000,    0.000,    1.868,    19.36
   38.52,   82.986,  1.58782,    0.000,    0.000,    1.911,    19.62
   38.54,   81.983,  1.58270,    0.000,    0.000,    1.928,    19.63
