Projektnummer           ,6409098
Sondierung              ,CPT08
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   20.50,    0.014,  0.00000,    0.228,    0.000,    0.000,     0.00
   20.52,    0.741,  0.00000,    0.233,    0.002,    0.000,    16.20
   20.54,    2.421,  0.00000,    0.275,    0.000,    0.000,    13.08
   20.56,    3.612,  0.07520,    0.541,    0.000,    2.165,    12.99
   20.58,    7.324,  0.11308,    0.593,   -0.002,    1.607,     5.86
   20.60,   15.432,  0.16371,    0.519,   -0.055,    1.085,     3.08
   20.62,   23.214,  0.21690,    0.613,    0.026,    0.953,     4.40
   20.64,   31.060,  0.27267,    0.524,   -0.020,    0.894,     4.36
   20.66,   39.039,  0.32425,    0.563,   -0.047,    0.835,     5.29
   20.68,   45.681,  0.37519,    0.514,   -0.004,    0.824,     4.64
   20.70,   50.600,  0.42004,    0.576,   -0.004,    0.841,     4.52
   20.72,   54.151,  0.48110,    0.516,   -0.003,    0.890,     7.01
   20.74,   56.953,  0.53666,    0.453,   -0.008,    0.947,     7.61
   20.76,   59.034,  0.00000,    0.473,   -0.008,    0.000,     8.62
   20.78,   61.225,  0.00000,    0.467,   -0.007,    0.000,     7.92
   20.80,   62.830,  0.00000,    0.467,   -0.006,    0.000,     8.95
   20.82,   64.358,  0.00000,    0.443,   -0.008,    0.000,     7.82
   20.84,   65.826,  0.00000,    0.565,   -0.007,    0.000,     3.65
   20.85,   66.741,  0.00000,    0.367,    0.000,    0.000,     0.88
