Projektnummer           ,6409098
Sondierung              ,CPT05
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   13.50,    0.038,  0.00000,   -0.010,    0.000,    0.000,     0.00
   13.52,    0.149,  0.00000,   -0.015,   -0.002,    0.000,    16.16
   13.54,    0.250,  0.00000,   -0.015,    0.000,    0.000,    17.53
   13.56,    0.421,  0.01156,   -0.014,    0.003,    3.222,    18.04
   13.58,    1.204,  0.01538,   -0.011,   -0.006,    1.622,    17.41
   13.60,    2.558,  0.02009,    0.134,   -0.004,    0.929,    15.49
   13.62,    2.735,  0.02713,    0.306,   -0.008,    0.943,    17.15
   13.64,    4.254,  0.03448,    0.297,   -0.019,    0.942,    15.26
   13.66,    5.721,  0.03978,    0.284,   -0.034,    0.716,    13.82
   13.68,    6.688,  0.04008,    0.285,   -0.045,    0.603,    14.08
   13.70,    7.368,  0.04414,    0.282,   -0.074,    0.616,    15.03
   13.72,    7.938,  0.05409,    0.273,   -0.101,    0.686,    16.14
   13.74,    8.346,  0.05920,    0.269,   -0.126,    0.720,    16.76
   13.76,    8.539,  0.05892,    0.274,   -0.128,    0.693,    17.77
   13.78,    8.551,  0.06355,    0.268,   -0.112,    0.743,    18.95
   13.80,    8.634,  0.06781,    0.276,   -0.132,    0.787,    19.46
   13.82,    8.825,  0.06524,    0.274,   -0.166,    0.742,    19.65
   13.84,    9.060,  0.06095,    0.270,   -0.204,    0.675,    19.80
   13.86,    9.255,  0.05724,    0.266,   -0.217,    0.621,    19.80
   13.88,    9.463,  0.05722,    0.268,   -0.229,    0.608,    20.24
   13.90,    9.624,  0.05853,    0.266,   -0.261,    0.610,    20.10
   13.92,    9.640,  0.06078,    0.266,   -0.274,    0.629,    20.24
   13.94,    9.634,  0.06501,    0.263,   -0.272,    0.675,    20.41
   13.96,    9.820,  0.06360,    0.264,   -0.267,    0.652,    20.43
   13.98,    9.860,  0.06377,    0.268,   -0.262,    0.646,    20.47
   14.00,    9.731,  0.06400,    0.267,   -0.260,    0.653,    20.88
   14.02,    9.609,  0.06396,    0.270,   -0.260,    0.662,    20.84
   14.04,    9.535,  0.06335,    0.268,   -0.276,    0.663,    20.80
   14.06,    9.394,  0.06362,    0.268,   -0.270,    0.670,    21.12
   14.08,    9.379,  0.06354,    0.266,   -0.266,    0.678,    21.12
