Projektnummer           ,6409098
Sondierung              ,CPT18
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   34.00,    0.124,  0.00000,    0.000,    0.000,    0.000,     0.00
   34.02,    0.395,  0.00000,    0.000,    0.000,    0.000,    16.28
   34.04,    0.617,  0.03378,    0.000,    0.000,    6.518,    17.53
   34.06,    1.317,  0.08104,    0.000,    0.000,    7.726,    18.00
   34.08,    4.377,  0.14813,    0.000,    0.000,    4.829,    15.38
   34.10,    8.564,  0.22310,    0.000,    0.000,    2.829,    12.47
   34.12,   19.880,  0.32563,    0.000,    0.000,    1.675,     3.53
   34.14,   34.728,  0.40284,    0.000,    0.000,    1.174,     3.61
   34.16,   48.545,  0.51123,    0.000,    0.000,    1.073,     5.17
   34.18,   61.678,  0.61469,    0.000,    0.000,    1.014,     6.16
   34.20,   73.203,  0.71001,    0.000,    0.000,    0.982,     4.84
   34.22,   82.612,  0.83889,    0.000,    0.000,    1.018,     4.96
   34.24,   90.297,  0.95129,    0.000,    0.000,    1.058,     6.60
   34.26,   95.541,  1.08084,    0.000,    0.000,    1.139,     7.48
   34.28,   98.124,  1.18971,    0.000,    0.000,    1.219,     8.67
   34.30,  101.596,  1.28141,    0.000,    0.000,    1.263,     8.50
   34.32,  103.642,  1.36488,    0.000,    0.000,    1.318,     9.68
   34.34,  103.519,  1.48200,    0.000,    0.000,    1.434,    11.00
   34.36,  104.355,  1.53318,    0.000,    0.000,    1.474,    10.62
   34.38,  104.884,  1.57219,    0.000,    0.000,    1.499,    11.83
   34.40,  105.261,  1.59512,    0.000,    0.000,    1.514,    11.88
   34.42,  106.436,  1.60878,    0.000,    0.000,    1.512,    11.12
   34.44,  106.774,  0.00000,    0.000,    0.000,    0.000,    12.97
   34.46,  107.722,  0.00000,    0.000,    0.000,    0.000,    12.00
   34.48,  109.162,  0.00000,    0.000,    0.000,    0.000,    10.34
   34.50,  110.443,  0.00000,    0.000,    0.000,    0.000,     8.80
   34.51,  110.615,  0.00000,    0.000,    0.000,    0.000,     9.68
