Load step time [s],Load step settlement [mm]
0.0,0.0
1.0005369999999996,-0.011000000000001009
2.000814,-0.017000000000001236
2.9998760000000004,-0.02200000000000024
4.000563,-0.027000000000001023
5.001021999999999,-0.031000000000000583
6.000610000000002,-0.035000000000000156
7.000387,-0.038000000000000256
8.000171000000002,-0.041000000000000356
9.001747000000002,-0.044000000000000455
10.000472000000002,-0.047000000000000555
11.000209000000002,-0.04900000000000125
12.000799,-0.05199999999999966
13.000288000000001,-0.054000000000000256
14.001072,-0.05600000000000095
14.99989,-0.05900000000000105
16.001628,-0.06099999999999994
17.000479000000002,-0.06300000000000064
17.999896,-0.06500000000000125
19.000518,-0.06700000000000014
20.000625,-0.06900000000000084
21.000084,-0.07099999999999976
22.000138000000003,-0.07300000000000034
23.000420000000002,-0.07399999999999984
24.000083999999998,-0.07600000000000054
25.000254,-0.07800000000000115
25.999948,-0.07900000000000065
27.000798999999997,-0.08100000000000127
28.000763000000003,-0.08300000000000016
29.000940000000003,-0.08399999999999966
30.000380000000003,-0.08600000000000024
31.001014,-0.08699999999999974
31.999916000000002,-0.08900000000000044
33.000797000000006,-0.08999999999999986
34.000440999999995,-0.09200000000000055
35.000663,-0.09400000000000114
36.000851999999995,-0.09500000000000064
37.000101,-0.09600000000000006
38.000522000000004,-0.09800000000000075
39.00094300000001,-0.09900000000000014
40.000570999999994,-0.09999999999999964
41.001695999999995,-0.10200000000000034
42.000305,-0.10299999999999976
43.00063299999999,-0.10400000000000095
44.00030100000001,-0.10500000000000045
45.000448000000006,-0.10599999999999984
46.000551,-0.10800000000000054
47.001025,-0.10899999999999996
48.000687,-0.11000000000000126
49.001076,-0.11100000000000065
50.00043599999999,-0.11200000000000004
51.001593,-0.11400000000000074
52.001779,-0.11400000000000074
53.000159,-0.11599999999999966
54.000045,-0.11700000000000085
55.00040299999999,-0.11800000000000035
56.000665,-0.11899999999999974
57.000243999999995,-0.12000000000000094
58.000277999999994,-0.12100000000000044
58.999993,-0.12199999999999986
60.00036,-0.12400000000000055
61.000564,-0.12499999999999994
62.001041,-0.12600000000000125
63.000444,-0.12700000000000064
64.000708,-0.12700000000000064
65.000275,-0.12900000000000136
65.999993,-0.13000000000000075
67.000665,-0.13100000000000026
68.000661,-0.13199999999999965
69.000869,-0.13199999999999965
70.001201,-0.13300000000000084
71.000677,-0.13499999999999976
71.999961,-0.13600000000000106
73.000339,-0.13700000000000045
74.00061699999999,-0.13700000000000045
75.000841,-0.13799999999999985
75.999935,-0.13900000000000115
77.000142,-0.14000000000000054
78.00046999999999,-0.14100000000000004
79.000289,-0.14200000000000126
80.000269,-0.14200000000000126
81.000868,-0.14300000000000065
82.001068,-0.14400000000000016
83.000526,-0.14499999999999955
84.00153999999999,-0.14600000000000074
85.001051,-0.14700000000000024
86.00180399999999,-0.14799999999999966
87.000355,-0.14799999999999966
88.00157399999999,-0.14900000000000097
89.000016,-0.15000000000000036
90.000413,-0.15099999999999975
91.000844,-0.15200000000000105
92.000785,-0.15200000000000105
92.99998599999999,-0.15300000000000044
94.001482,-0.15399999999999994
95.001869,-0.15500000000000116
97.00003699999999,-0.15700000000000006
98.000294,-0.15700000000000006
99.000041,-0.15800000000000125
100.00074,-0.15900000000000064
101.000928,-0.15900000000000064
102.000123,-0.16000000000000014
103.000764,-0.16099999999999956
103.99998599999999,-0.16200000000000084
105.00050399999999,-0.16200000000000084
106.000909,-0.16300000000000026
106.999968,-0.16399999999999965
108.00066799999999,-0.16399999999999965
109.00092,-0.16500000000000095
110.00035299999999,-0.16600000000000034
111.00054399999999,-0.16699999999999984
113.000941,-0.16800000000000107
114.000008,-0.16900000000000046
115.000365,-0.16900000000000046
116.00066,-0.16999999999999996
117.001904,-0.17100000000000115
118.0001,-0.17100000000000115
119.000519,-0.17200000000000054
120.000812,-0.17300000000000004
121.00103099999998,-0.17300000000000004
122.00004899999999,-0.17400000000000126
123.00057999999999,-0.17400000000000126
124.000268,-0.17500000000000074
125.000543,-0.17500000000000074
126.000856,-0.17600000000000016
127.00009399999999,-0.17699999999999966
128.001437,-0.17699999999999966
129.000573,-0.17800000000000085
130.000616,-0.17900000000000024
131.000562,-0.17900000000000024
132.001921,-0.17999999999999974
133.001441,-0.17999999999999974
134.000048,-0.18100000000000094
135.001069,-0.18200000000000036
136.000193,-0.18200000000000036
137.001648,-0.18299999999999986
138.000801,-0.18400000000000105
139.001079,-0.18400000000000105
140.00048,-0.18400000000000105
141.00154,-0.18500000000000044
142.000214,-0.18599999999999994
143.001843,-0.18599999999999994
144.000428,-0.18700000000000117
145.000871,-0.18700000000000117
146.001914,-0.18800000000000067
147.001846,-0.18900000000000006
148.000271,-0.18900000000000006
149.00154799999999,-0.19000000000000128
150.001615,-0.19000000000000128
151.000229,-0.19100000000000072
152.001812,-0.19100000000000072
153.000213,-0.19200000000000017
154.000138,-0.19200000000000017
155.001797,-0.19299999999999967
156.000829,-0.19299999999999967
157.001818,-0.19400000000000084
158.00117699999998,-0.19400000000000084
159.000523,-0.19500000000000023
160.000743,-0.19599999999999973
161.001075,-0.19599999999999973
162.000601,-0.19700000000000095
163.000967,-0.19700000000000095
164.000234,-0.19800000000000034
165.00176,-0.19800000000000034
166.000113,-0.19899999999999984
167.001133,-0.19899999999999984
168.001427,-0.19899999999999984
169.00152,-0.20000000000000107
223.000145,-0.22300000000000075
283.00104500000003,-0.24099999999999966
343.002176,-0.2560000000000002
403.000691,-0.26700000000000124
463.00126300000005,-0.27599999999999975
523.000917,-0.28400000000000064
583.000488,-0.290000000000001
